Código Departamento,Nombre Departamento,Código Municipio,Nombre Municipio,Código Zona,Código Puesto,Nombre Puesto,Mesa,Código Comuna,Nombre Comuna,Código Corporación,Nombre Corporación,Código Circunscripción,Nombre Circunscripción,Código CITREP,Nombre CITREP,Código Partido,Nombre Partido,Código Candidato,Nombre Candidato,Total Votos
07,BOYACA,001,TUNJA,90,01,PUESTO CENSO (COL. BOY SAN AGUSTIN),0006,00,,02,CAMARA,02,DEPARTAMENTAL,00,NO CITREP,0002,PARTIDO CONSERVADOR COLOMBIANO,103,JOSE DARIO MAHECHA CASTILLO,1
07,BOYACA,001,TUNJA,90,01,PUESTO CENSO (COL. BOY SAN AGUSTIN),0008,00,,02,CAMARA,02,DEPARTAMENTAL,00,NO CITREP,0002,PARTIDO CONSERVADOR COLOMBIANO,104,JOSE FERNANDO MORALES ACUÑA,1
07,BOYACA,001,TUNJA,90,01,PUESTO CENSO (COL. BOY SAN AGUSTIN),0010,00,,02,CAMARA,02,DEPARTAMENTAL,00,NO CITREP,0002,PARTIDO CONSERVADOR COLOMBIANO,104,JOSE FERNANDO MORALES ACUÑA,1
07,BOYACA,001,TUNJA,90,01,PUESTO CENSO (COL. BOY SAN AGUSTIN),0011,00,,02,CAMARA,02,DEPARTAMENTAL,00,NO CITREP,0002,PARTIDO CONSERVADOR COLOMBIANO,104,JOSE FERNANDO MORALES ACUÑA,1
07,BOYACA,001,TUNJA,90,01,PUESTO CENSO (COL. BOY SAN AGUSTIN),0012,00,,02,CAMARA,02,DEPARTAMENTAL,00,NO CITREP,0002,PARTIDO CONSERVADOR COLOMBIANO,104,JOSE FERNANDO MORALES ACUÑA,1
07,BOYACA,001,TUNJA,90,01,PUESTO CENSO (COL. BOY SAN AGUSTIN),0013,00,,02,CAMARA,02,DEPARTAMENTAL,00,NO CITREP,0002,PARTIDO CONSERVADOR COLOMBIANO,103,JOSE DARIO MAHECHA CASTILLO,1
07,BOYACA,001,TUNJA,90,01,PUESTO CENSO (COL. BOY SAN AGUSTIN),0013,00,,02,CAMARA,02,DEPARTAMENTAL,00,NO CITREP,0002,PARTIDO CONSERVADOR COLOMBIANO,104,JOSE FERNANDO MORALES ACUÑA,1
07,BOYACA,001,TUNJA,90,01,PUESTO CENSO (COL. BOY SAN AGUSTIN),0003,00,,02,CAMARA,02,DEPARTAMENTAL,00,NO CITREP,0011,PARTIDO CENTRO DEMOCRÁTICO,102,EDUAR ALEXIS TRIANA RINCON,1
07,BOYACA,001,TUNJA,90,01,PUESTO CENSO (COL. BOY SAN AGUSTIN),0004,00,,02,CAMARA,02,DEPARTAMENTAL,00,NO CITREP,0011,PARTIDO CENTRO DEMOCRÁTICO,102,EDUAR ALEXIS TRIANA RINCON,1
07,BOYACA,001,TUNJA,90,01,PUESTO CENSO (COL. BOY SAN AGUSTIN),0008,00,,02,CAMARA,02,DEPARTAMENTAL,00,NO CITREP,0011,PARTIDO CENTRO DEMOCRÁTICO,102,EDUAR ALEXIS TRIANA RINCON,1
07,BOYACA,001,TUNJA,90,01,PUESTO CENSO (COL. BOY SAN AGUSTIN),0012,00,,02,CAMARA,02,DEPARTAMENTAL,00,NO CITREP,0011,PARTIDO CENTRO DEMOCRÁTICO,104,GUILLERMO LEONARDO SANCHEZ SANCHEZ,1
07,BOYACA,001,TUNJA,90,01,PUESTO CENSO (COL. BOY SAN AGUSTIN),0013,00,,02,CAMARA,02,DEPARTAMENTAL,00,NO CITREP,0011,PARTIDO CENTRO DEMOCRÁTICO,104,GUILLERMO LEONARDO SANCHEZ SANCHEZ,1
07,BOYACA,001,TUNJA,90,01,PUESTO CENSO (COL. BOY SAN AGUSTIN),0013,00,,02,CAMARA,02,DEPARTAMENTAL,00,NO CITREP,0001,PARTIDO LIBERAL COLOMBIANO,103,WILSON CASTIBLANCO GIL,1
07,BOYACA,001,TUNJA,90,01,PUESTO CENSO (COL. BOY SAN AGUSTIN),0003,00,,02,CAMARA,02,DEPARTAMENTAL,00,NO CITREP,0002,PARTIDO CONSERVADOR COLOMBIANO,102,HUMPHREY ROA SARMIENTO,1
