"","Cod...1","Departamento","Cod...3","Municipio","Cod...5","Zona","Cod...7","Puesto","Mesa","Cod...10","Tipo de votación","Total"
"161",7,"BOYACA",1,"TUNJA",1,"ZONA 01","03","COL. BOYACA.JOSE I. DE MARQUE",9,997997,"VOTOS NULOS",1
"162",7,"BOYACA",1,"TUNJA",1,"ZONA 01","03","COL. BOYACA.JOSE I. DE MARQUE",9,998998,"VOTOS NO MARCADOS",2
"163",7,"BOYACA",1,"TUNJA",1,"ZONA 01","03","COL. BOYACA.JOSE I. DE MARQUE",10,1001,"SI",130
"164",7,"BOYACA",1,"TUNJA",1,"ZONA 01","03","COL. BOYACA.JOSE I. DE MARQUE",10,2002,"NO",93
"165",7,"BOYACA",1,"TUNJA",1,"ZONA 01","03","COL. BOYACA.JOSE I. DE MARQUE",10,997997,"VOTOS NULOS",8
"166",7,"BOYACA",1,"TUNJA",1,"ZONA 01","03","COL. BOYACA.JOSE I. DE MARQUE",11,1001,"SI",85
"167",7,"BOYACA",1,"TUNJA",1,"ZONA 01","03","COL. BOYACA.JOSE I. DE MARQUE",11,2002,"NO",64
"168",7,"BOYACA",1,"TUNJA",1,"ZONA 01","03","COL. BOYACA.JOSE I. DE MARQUE",11,997997,"VOTOS NULOS",6
"169",7,"BOYACA",1,"TUNJA",1,"ZONA 01","03","COL. BOYACA.JOSE I. DE MARQUE",11,998998,"VOTOS NO MARCADOS",1
"170",7,"BOYACA",1,"TUNJA",1,"ZONA 01","04","COLEGIO EL ROSARIO",1,1001,"SI",165
"171",7,"BOYACA",1,"TUNJA",1,"ZONA 01","04","COLEGIO EL ROSARIO",1,2002,"NO",79
"172",7,"BOYACA",1,"TUNJA",1,"ZONA 01","04","COLEGIO EL ROSARIO",1,997997,"VOTOS NULOS",3
"173",7,"BOYACA",1,"TUNJA",1,"ZONA 01","04","COLEGIO EL ROSARIO",2,1001,"SI",141
"174",7,"BOYACA",1,"TUNJA",1,"ZONA 01","04","COLEGIO EL ROSARIO",2,2002,"NO",113
"175",7,"BOYACA",1,"TUNJA",1,"ZONA 01","04","COLEGIO EL ROSARIO",2,997997,"VOTOS NULOS",6
"176",7,"BOYACA",1,"TUNJA",1,"ZONA 01","04","COLEGIO EL ROSARIO",3,1001,"SI",138
"177",7,"BOYACA",1,"TUNJA",1,"ZONA 01","04","COLEGIO EL ROSARIO",3,2002,"NO",105
"178",7,"BOYACA",1,"TUNJA",1,"ZONA 01","04","COLEGIO EL ROSARIO",3,997997,"VOTOS NULOS",1
"179",7,"BOYACA",1,"TUNJA",1,"ZONA 01","04","COLEGIO EL ROSARIO",3,998998,"VOTOS NO MARCADOS",1
"180",7,"BOYACA",1,"TUNJA",1,"ZONA 01","04","COLEGIO EL ROSARIO",4,1001,"SI",151
"181",7,"BOYACA",1,"TUNJA",1,"ZONA 01","04","COLEGIO EL ROSARIO",4,2002,"NO",69
"182",7,"BOYACA",1,"TUNJA",1,"ZONA 01","04","COLEGIO EL ROSARIO",4,997997,"VOTOS NULOS",9
"183",7,"BOYACA",1,"TUNJA",1,"ZONA 01","04","COLEGIO EL ROSARIO",4,998998,"VOTOS NO MARCADOS",1
"184",7,"BOYACA",1,"TUNJA",1,"ZONA 01","04","COLEGIO EL ROSARIO",5,1001,"SI",155
"185",7,"BOYACA",1,"TUNJA",1,"ZONA 01","04","COLEGIO EL ROSARIO",5,2002,"NO",88
"186",7,"BOYACA",1,"TUNJA",1,"ZONA 01","04","COLEGIO EL ROSARIO",5,997997,"VOTOS NULOS",3
"187",7,"BOYACA",1,"TUNJA",1,"ZONA 01","04","COLEGIO EL ROSARIO",6,1001,"SI",153
