MUNNOMBRE;PARNOMBRE;VOTOS
SACHICA;Alianza Verde;462
SACHICA;Cambio Radical;328
SACHICA;Movimiento MIRA;52
SACHICA;Partido Liberal Colombiano;523
SACHICA;Partido PIN;114
SACHICA;Partido de la U;333
SACHICA;Polo Democrático Alternativo;252
SAMACA;Alianza Social Independiente;491
SAMACA;Alianza Verde;2031
SAMACA;Cambio Radical;1393
SAMACA;Partido Conservador Colombiano;80
SAMACA;Partido Liberal Colombiano;1130
SAMACA;Partido PIN;472
SAMACA;Partido de la U;1941
SAMACA;Polo Democrático Alternativo;502
SAN EDUARDO;Alianza Verde;332
SAN EDUARDO;Cambio Radical;180
SAN EDUARDO;Partido Conservador Colombiano;93
SAN EDUARDO;Partido Liberal Colombiano;324
SAN EDUARDO;Partido de la U;120
SAN JOSE DE PARE;Alianza Verde;618
SAN JOSE DE PARE;Cambio Radical;406
SAN JOSE DE PARE;Partido Conservador Colombiano;253
SAN JOSE DE PARE;Partido Liberal Colombiano;711
SAN JOSE DE PARE;Partido PIN;560
SAN JOSE DE PARE;Partido de la U;876
SAN LUIS DE GACENO;Alianza Verde;449
SAN LUIS DE GACENO;Cambio Radical;324
SAN LUIS DE GACENO;Partido Conservador Colombiano;878
SAN LUIS DE GACENO;Partido Liberal Colombiano;176
SAN LUIS DE GACENO;Partido de la U;980
SAN MATEO;Alianza Social Independiente;136
SAN MATEO;Alianza Verde;478
SAN MATEO;Cambio Radical;355
SAN MATEO;MIO;18
SAN MATEO;MOVIMIENTO POLITICO AFROVIDES;196
SAN MATEO;Movimiento De Inclusion Y Oportunidades  Mio;0
SAN MATEO;Movimiento Politico Afrovides;9
SAN MATEO;Partido Conservador Colombiano;358
SAN MATEO;Partido PIN;349
SAN MATEO;Partido de la U;421
SAN MIGUEL DE SEMA;Partido Conservador Colombiano;655
SAN MIGUEL DE SEMA;Partido Liberal Colombiano;573
SAN MIGUEL DE SEMA;Partido de la U;487
SAN PABLO DE BORBUR;Alianza Verde;370
SAN PABLO DE BORBUR;Cambio Radical;671
SAN PABLO DE BORBUR;Partido Conservador Colombiano;1178
SAN PABLO DE BORBUR;Partido de la U;1005
SANTA MARIA;Alianza Verde;366
SANTA MARIA;Cambio Radical;369
SANTA MARIA;Partido Conservador Colombiano;283
SANTA MARIA;Partido Liberal Colombiano;241
SANTA MARIA;Partido de la U;766
SANTA ROSA DE VITERBO;Alianza Social Independiente;347
SANTA ROSA DE VITERBO;Alianza Verde;873
SANTA ROSA DE VITERBO;Cambio Radical;679
SANTA ROSA DE VITERBO;Partido Conservador Colombiano;1754
SANTA ROSA DE VITERBO;Partido Liberal Colombiano;664
SANTA ROSA DE VITERBO;Partido de la U;595
SANTA SOFIA;Alianza Verde;106
SANTA SOFIA;Cambio Radical;283
SANTA SOFIA;Partido Conservador Colombiano;631
SANTA SOFIA;Partido PIN;425
SANTA SOFIA;Partido de la U;588
SANTANA;Alianza Social Independiente;1480
SANTANA;Alianza Verde;399
SANTANA;Partido Liberal Colombiano;591
SANTANA;Partido de la U;1344
SATIVANORTE;Alianza Verde;260
SATIVANORTE;Cambio Radical;213
SATIVANORTE;Partido Conservador Colombiano;602
SATIVANORTE;Partido PIN;178
SATIVANORTE;Partido de la U;508
