MUNNOMBRE,PARNOMBRE,TOTALVOTOSVALIDOS,PORCENTAJE
CHISCAS;PROMOTORES VOTO EN BLANCO;PROMOTORES VOTO EN BLANCO;2,CHISCAS;Promotores Voto En Blanco;Promotores Voto En Blanco;2,0.0,0.0
CHISCAS;SERGIO FAJARDO VALDERRAMA;COLOMBIA HUMANA;88,CHISCAS;Sergio Fajardo Valderrama;Colombia Humana;88,0.0,0.0
CHISCAS;VIVIANE ALEIDA MORALES HOYOS;CAMBIO RADICAL;8,CHISCAS;Viviane Aleida Morales Hoyos;Cambio Radical;8,0.0,0.0
CHITA;GERMAN VARGAS LLERAS;CENTRO DEMOCRATICO;41,CHITA;German Vargas Lleras;Centro Democrático;41,0.0,0.0
CHITA;GUSTAVO FRANCISCO PETRO URREGO;PARTIDO LIBERAL COLOMBIANO;320,CHITA;Gustavo Francisco Petro Urrego;Partido Liberal Colombiano;320,0.0,0.0
CHITA;HUMBERTO DE LA CALLE LOMBANA;PARTIDO DE LA U;31,CHITA;Humberto De La Calle Lombana;Partido de la U;31,0.0,0.0
CHITA;IVAN DUQUE MARQUEZ;CENTRO DEMOCRATICO;2315,CHITA;Ivan Duque Marquez;Centro Democrático;2315,0.0,0.0
CHITA;JORGE ANTONIO TRUJILLO SARMIENTO;CAMBIO RADICAL;10,CHITA;Jorge Antonio Trujillo Sarmiento;Cambio Radical;10,0.0,0.0
CHITA;PROMOTORES VOTO EN BLANCO;PROMOTORES VOTO EN BLANCO;65,CHITA;Promotores Voto En Blanco;Promotores Voto En Blanco;65,0.0,0.0
CHITA;SERGIO FAJARDO VALDERRAMA;COLOMBIA HUMANA;158,CHITA;Sergio Fajardo Valderrama;Colombia Humana;158,0.0,0.0
CHITA;VIVIANE ALEIDA MORALES HOYOS;CAMBIO RADICAL;8,CHITA;Viviane Aleida Morales Hoyos;Cambio Radical;8,0.0,0.0
CHITARAQUE;GERMAN VARGAS LLERAS;CENTRO DEMOCRATICO;357,CHITARAQUE;German Vargas Lleras;Centro Democrático;357,0.0,0.0
CHITARAQUE;GUSTAVO FRANCISCO PETRO URREGO;PARTIDO LIBERAL COLOMBIANO;244,CHITARAQUE;Gustavo Francisco Petro Urrego;Partido Liberal Colombiano;244,0.0,0.0
CHITARAQUE;HUMBERTO DE LA CALLE LOMBANA;PARTIDO DE LA U;15,CHITARAQUE;Humberto De La Calle Lombana;Partido de la U;15,0.0,0.0
CHITARAQUE;IVAN DUQUE MARQUEZ;CENTRO DEMOCRATICO;1853,CHITARAQUE;Ivan Duque Marquez;Centro Democrático;1853,0.0,0.0
CHITARAQUE;JORGE ANTONIO TRUJILLO SARMIENTO;CAMBIO RADICAL;8,CHITARAQUE;Jorge Antonio Trujillo Sarmiento;Cambio Radical;8,0.0,0.0
CHITARAQUE;PROMOTORES VOTO EN BLANCO;PROMOTORES VOTO EN BLANCO;1,CHITARAQUE;Promotores Voto En Blanco;Promotores Voto En Blanco;1,0.0,0.0
CHITARAQUE;SERGIO FAJARDO VALDERRAMA;COLOMBIA HUMANA;147,CHITARAQUE;Sergio Fajardo Valderrama;Colombia Humana;147,0.0,0.0
CHITARAQUE;VIVIANE ALEIDA MORALES HOYOS;CAMBIO RADICAL;9,CHITARAQUE;Viviane Aleida Morales Hoyos;Cambio Radical;9,0.0,0.0
CHIVATA;GERMAN VARGAS LLERAS;CENTRO DEMOCRATICO;65,CHIVATA;German Vargas Lleras;Centro Democrático;65,0.0,0.0
CHIVATA;GUSTAVO FRANCISCO PETRO URREGO;PARTIDO LIBERAL COLOMBIANO;304,CHIVATA;Gustavo Francisco Petro Urrego;Partido Liberal Colombiano;304,0.0,0.0
