MUNNOMBRE,PARNOMBRE,TOTALVOTOSVALIDOS,PORCENTAJE
"AQUITANIA (PUEBLOVIEJO);ANGEL RAFAEL CHAPARRO CEPEDA;""PARTIDO ALIANZA SOCIAL INDEPENDIENTE """"ASI"""""";22","AQUITANIA (PUEBLOVIEJO);ANGEL RAFAEL CHAPARRO CEPEDA;""PARTIDO ALIANZA SOCIAL INDEPENDIENTE """"ASI"""""";22",0.0,0.0
AQUITANIA (PUEBLOVIEJO);ANGELA LUCERO LOPEZ PIRAGAUTA;PARTIDO CENTRO DEMOCRATICO;4,AQUITANIA (PUEBLOVIEJO);ANGELA LUCERO LOPEZ PIRAGAUTA;PARTIDO CENTRO DEMOCRÁTICO;4,0.0,0.0
AQUITANIA (PUEBLOVIEJO);BERTHA YOLIMA LAVERDE DIAZ;PARTIDO CAMBIO RADICAL;17,AQUITANIA (PUEBLOVIEJO);BERTHA YOLIMA LAVERDE DIAZ;PARTIDO CAMBIO RADICAL;17,0.0,0.0
AQUITANIA (PUEBLOVIEJO);BLANCA OMAIRA ROSAS RODRIGUEZ;PARTIDO ALIANZA VERDE;116,AQUITANIA (PUEBLOVIEJO);BLANCA OMAIRA ROSAS RODRIGUEZ;PARTIDO ALIANZA VERDE;116,0.0,0.0
AQUITANIA (PUEBLOVIEJO);BRIAN ANDRES GUANUMEN NOSSA;PARTIDO CONSERVADOR COLOMBIANO;362,AQUITANIA (PUEBLOVIEJO);BRIAN ANDRES GUANUMEN NOSSA;PARTIDO CONSERVADOR COLOMBIANO;362,0.0,0.0
AQUITANIA (PUEBLOVIEJO);CAMILO ANDRES URIBE MONTANA;MOVIMIENTO SALVACION NACIONAL;47,AQUITANIA (PUEBLOVIEJO);CAMILO ANDRES URIBE MONTAÑA;MOVIMIENTO SALVACIÓN NACIONAL;47,0.0,0.0
AQUITANIA (PUEBLOVIEJO);CAMPO ELIAS ALARCON AGUIRRE;MOVIMIENTO SALVACION NACIONAL;100,AQUITANIA (PUEBLOVIEJO);CAMPO ELIAS ALARCON AGUIRRE;MOVIMIENTO SALVACIÓN NACIONAL;100,0.0,0.0
AQUITANIA (PUEBLOVIEJO);CARLOS DARIO MORENO VARGAS;MOVIMIENTO SALVACION NACIONAL;90,AQUITANIA (PUEBLOVIEJO);CARLOS DARIO MORENO VARGAS;MOVIMIENTO SALVACIÓN NACIONAL;90,0.0,0.0
AQUITANIA (PUEBLOVIEJO);CATALINA OCHOA AVENDANO;PARTIDO CONSERVADOR COLOMBIANO;10,AQUITANIA (PUEBLOVIEJO);CATALINA OCHOA AVENDAÑO;PARTIDO CONSERVADOR COLOMBIANO;10,0.0,0.0
AQUITANIA (PUEBLOVIEJO);CLELIA ALARCON LEMUS;PARTIDO CONSERVADOR COLOMBIANO;327,AQUITANIA (PUEBLOVIEJO);CLELIA ALARCON LEMUS;PARTIDO CONSERVADOR COLOMBIANO;327,0.0,0.0
AQUITANIA (PUEBLOVIEJO);CRISTIAN CAMILO CHAPARRO CASTRO;PARTIDO CENTRO DEMOCRATICO;44,AQUITANIA (PUEBLOVIEJO);CRISTIAN CAMILO CHAPARRO CASTRO;PARTIDO CENTRO DEMOCRÁTICO;44,0.0,0.0
"AQUITANIA (PUEBLOVIEJO);CRISTIAN DAVID MORENO CARDOZO;""PARTIDO ALIANZA SOCIAL INDEPENDIENTE """"ASI"""""";31","AQUITANIA (PUEBLOVIEJO);CRISTIAN DAVID MORENO CARDOZO;""PARTIDO ALIANZA SOCIAL INDEPENDIENTE """"ASI"""""";31",0.0,0.0
AQUITANIA (PUEBLOVIEJO);DANIEL GERARDO CHAPARRO PEREZ;PARTIDO POLITICO DIGNIDAD & COMPROMISO;66,AQUITANIA (PUEBLOVIEJO);DANIEL GERARDO CHAPARRO PEREZ;PARTIDO POLÍTICO DIGNIDAD & COMPROMISO;66,0.0,0.0
AQUITANIA (PUEBLOVIEJO);DEICY JIMENA GUTIERREZ PEREZ;PARTIDO CONSERVADOR COLOMBIANO;50,AQUITANIA (PUEBLOVIEJO);DEICY JIMENA GUTIERREZ PEREZ;PARTIDO CONSERVADOR COLOMBIANO;50,0.0,0.0
AQUITANIA (PUEBLOVIEJO);DEISY ALEXANDRA FONSECA FONSECA;PARTIDO DE LA UNION POR LA GENTE - PARTIDO DE LA U;12,AQUITANIA (PUEBLOVIEJO);DEISY ALEXANDRA FONSECA FONSECA;PARTIDO DE LA UNIÓN POR LA GENTE - PARTIDO DE LA U;12,0.0,0.0
"AQUITANIA (PUEBLOVIEJO);DIEGO ALEJANDRO MONTANA CADENA;""MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL """"MAIS"""""";222","AQUITANIA (PUEBLOVIEJO);DIEGO ALEJANDRO MONTAÑA CADENA;""MOVIMIENTO ALTERNATIVO INDÍGENA Y SOCIAL """"MAIS"""""";222",0.0,0.0
AQUITANIA (PUEBLOVIEJO);DIEGO SANTOS PEDRAZA;PARTIDO ALIANZA VERDE;71,AQUITANIA (PUEBLOVIEJO);DIEGO SANTOS PEDRAZA;PARTIDO ALIANZA VERDE;71,0.0,0.0
"AQUITANIA (PUEBLOVIEJO);DORA LIZETH JIMENEZ ALARCON;""MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL """"MAIS"""""";4","AQUITANIA (PUEBLOVIEJO);DORA LIZETH JIMENEZ ALARCON;""MOVIMIENTO ALTERNATIVO INDÍGENA Y SOCIAL """"MAIS"""""";4",0.0,0.0
AQUITANIA (PUEBLOVIEJO);DUMAR FERNANDO RIOS CHAPARRO;PARTIDO CENTRO DEMOCRATICO;75,AQUITANIA (PUEBLOVIEJO);DUMAR FERNANDO RIOS CHAPARRO;PARTIDO CENTRO DEMOCRÁTICO;75,0.0,0.0
AQUITANIA (PUEBLOVIEJO);EDGAR FABIAN SATOBA CHAPARRO;PARTIDO DE LA UNION POR LA GENTE - PARTIDO DE LA U;26,AQUITANIA (PUEBLOVIEJO);EDGAR FABIAN SATOBA CHAPARRO;PARTIDO DE LA UNIÓN POR LA GENTE - PARTIDO DE LA U;26,0.0,0.0
"AQUITANIA (PUEBLOVIEJO);EDIXON ROLANDO RINCON CHAPARRO;""PARTIDO ALIANZA SOCIAL INDEPENDIENTE """"ASI"""""";59","AQUITANIA (PUEBLOVIEJO);EDIXON ROLANDO RINCON CHAPARRO;""PARTIDO ALIANZA SOCIAL INDEPENDIENTE """"ASI"""""";59",0.0,0.0
