MUNNOMBRE,PARNOMBRE,TOTALVOTOSVALIDOS,PORCENTAJE
AQUITANIA (PUEBLOVIEJO);CONSEJO COMUNITARIO DE COMUNIDADES NEGRAS SOCOLAND O;CONSEJO COMUNITARIO DE COMUNIDADES NEGRAS SOCOLANDO;1,AQUITANIA (PUEBLOVIEJO);CONSEJO COMUNITARIO DE COMUNIDADES NEGRAS SOCOLAND O;CONSEJO COMUNITARIO DE COMUNIDADES NEGRAS SOCOLANDO;1,0.0,0.0
AQUITANIA (PUEBLOVIEJO);CONSEJO COMUNITARIO LA VOZ DE LOS NEGROS;CONSEJO COMUNITARIO LA VOZ DE LOS NEGROS;1,AQUITANIA (PUEBLOVIEJO);CONSEJO COMUNITARIO LA VOZ DE LOS NEGROS;CONSEJO COMUNITARIO LA VOZ DE LOS NEGROS;1,0.0,0.0
AQUITANIA (PUEBLOVIEJO);DIANA CAROLINA SUAREZ MUNOZ;COALICION PARTIDOS DE LA U - MIRA - COLOMBIA JUSTA LIBRES - ASI;32,Colombia Justa Libres,0.0,0.0
AQUITANIA (PUEBLOVIEJO);DIEGO ALBERTO RAMIREZ PRADO;CONSEJO COMUNITARIO MAYOR DE CASIMIRO;1,AQUITANIA (PUEBLOVIEJO);DIEGO ALBERTO RAMIREZ PRADO;CONSEJO COMUNITARIO MAYOR DE CASIMIRO;1,0.0,0.0
AQUITANIA (PUEBLOVIEJO);EDUAR ALEXIS TRIANA RINCON;PARTIDO CENTRO DEMOCRATICO;109,AQUITANIA (PUEBLOVIEJO);EDUAR ALEXIS TRIANA RINCON;PARTIDO CENTRO DEMOCRÁTICO;109,0.0,0.0
AQUITANIA (PUEBLOVIEJO);GERMAN TIBERIO OJEDA PEDRAZA;PARTIDO ALIANZA VERDE;113,AQUITANIA (PUEBLOVIEJO);GERMAN TIBERIO OJEDA PEDRAZA;PARTIDO ALIANZA VERDE;113,0.0,0.0
AQUITANIA (PUEBLOVIEJO);GUILLERMO LEONARDO SANCHEZ SANCHEZ;PARTIDO CENTRO DEMOCRATICO;161,AQUITANIA (PUEBLOVIEJO);GUILLERMO LEONARDO SANCHEZ SANCHEZ;PARTIDO CENTRO DEMOCRÁTICO;161,0.0,0.0
AQUITANIA (PUEBLOVIEJO);HECTOR ANGEL ORTIZ NUNEZ;PARTIDO CENTRO DEMOCRATICO;180,AQUITANIA (PUEBLOVIEJO);HECTOR ANGEL ORTIZ NUÑEZ;PARTIDO CENTRO DEMOCRÁTICO;180,0.0,0.0
AQUITANIA (PUEBLOVIEJO);HECTOR DAVID CHAPARRO CHAPARRO;PARTIDO LIBERAL COLOMBIANO;310,AQUITANIA (PUEBLOVIEJO);HECTOR DAVID CHAPARRO CHAPARRO;PARTIDO LIBERAL COLOMBIANO;310,0.0,0.0
AQUITANIA (PUEBLOVIEJO);HENRY DE JESUS PUERTO VASQUEZ;PARTIDO NUEVO LIBERALISMO;7,AQUITANIA (PUEBLOVIEJO);HENRY DE JESUS PUERTO VASQUEZ;PARTIDO NUEVO LIBERALISMO;7,0.0,0.0
