MUNNOMBRE,PARNOMBRE,TOTALVOTOSVALIDOS,PORCENTAJE
PAIPA;DIANA MARIA BENAVIDES LOPEZ;PARTIDO CONSERVADOR COLOMBIANO;31,PAIPA;DIANA MARIA BENAVIDES LOPEZ;PARTIDO CONSERVADOR COLOMBIANO;31,0.0,0.0
PAIPA;FERNANDO TAMAYO MATEUS;PARTIDO CONSERVADOR COLOMBIANO;51,PAIPA;FERNANDO TAMAYO MATEUS;PARTIDO CONSERVADOR COLOMBIANO;51,0.0,0.0
PAIPA;GILBERTO MEDINA TAMAYO;PARTIDO ALIANZA VERDE;40,PAIPA;GILBERTO MEDINA TAMAYO;PARTIDO ALIANZA VERDE;40,0.0,0.0
PAIPA;GILMA TAMAYO CHACON;PARTIDO ALIANZA VERDE;31,PAIPA;GILMA TAMAYO CHACON;PARTIDO ALIANZA VERDE;31,0.0,0.0
PAIPA;JABIER JIMENEZ VEGA;PARTIDO ALIANZA VERDE;70,PAIPA;JABIER JIMENEZ VEGA;PARTIDO ALIANZA VERDE;70,0.0,0.0
PAIPA;JAVIER ALBERTO MEDINA BENAVIDES;PARTIDO CENTRO DEMOCRATICO;47,PAIPA;JAVIER ALBERTO MEDINA BENAVIDES;PARTIDO CENTRO DEMOCRATICO;47,0.0,0.0
PAIPA;JOSE ANGEL PAMPLONA NINO;PARTIDO ALIANZA SOCIAL INDEPENDIENTE ASI;18,PAIPA;JOSE ANGEL PAMPLONA NIÑO;PARTIDO ALIANZA SOCIAL INDEPENDIENTE ASI;18,0.0,0.0
PAIPA;JOSUE OSVALDO HIGUERA MEDINA;PARTIDO CONSERVADOR COLOMBIANO;51,PAIPA;JOSUE OSVALDO HIGUERA MEDINA;PARTIDO CONSERVADOR COLOMBIANO;51,0.0,0.0
PAIPA;LINA MARIA BRAVO BENAVIDES;PARTIDO ALIANZA SOCIAL INDEPENDIENTE ASI;40,PAIPA;LINA MARIA BRAVO BENAVIDES;PARTIDO ALIANZA SOCIAL INDEPENDIENTE ASI;40,0.0,0.0
PAIPA;LISANDRO DIAZ TAMAYO;PARTIDO CONSERVADOR COLOMBIANO;20,PAIPA;LISANDRO DIAZ TAMAYO;PARTIDO CONSERVADOR COLOMBIANO;20,0.0,0.0
PAIPA;LUIS JAIME BARON PALACIOS;PARTIDO ALIANZA VERDE;17,PAIPA;LUIS JAIME BARON PALACIOS;PARTIDO ALIANZA VERDE;17,0.0,0.0
PAIPA;MAGDALENA PALACIOS LOPEZ;PARTIDO CONSERVADOR COLOMBIANO;14,PAIPA;MAGDALENA PALACIOS LOPEZ;PARTIDO CONSERVADOR COLOMBIANO;14,0.0,0.0
PAIPA;MARIA ELENA DIAZ DIAZ;PARTIDO CONSERVADOR COLOMBIANO;47,PAIPA;MARIA ELENA DIAZ DIAZ;PARTIDO CONSERVADOR COLOMBIANO;47,0.0,0.0
PAIPA;MARIA ROSALIA HERRERA BENAVIDES;PARTIDO ALIANZA VERDE;11,PAIPA;MARIA ROSALIA HERRERA BENAVIDES;PARTIDO ALIANZA VERDE;11,0.0,0.0
PAIPA;MARIA YORLENY GONZALEZ DIAZ;PARTIDO CENTRO DEMOCRATICO;9,PAIPA;MARIA YORLENY GONZALEZ DIAZ;PARTIDO CENTRO DEMOCRATICO;9,0.0,0.0
