MUNNOMBRE;PARNOMBRE;VOTOS
SAN MATEO;Colombia Renaciente;12
SAN MATEO;GRAN ALIANZA POR BOYACA;1450
SAN MATEO;JUNTOS #ESMOMENTO;1094
SAN MATEO;MAIS;19
SAN MIGUEL DE SEMA;Colombia Renaciente;14
SAN MIGUEL DE SEMA;GRAN ALIANZA POR BOYACA;1084
SAN MIGUEL DE SEMA;JUNTOS #ESMOMENTO;639
SAN MIGUEL DE SEMA;MAIS;37
SAN PABLO DE BORBUR;Colombia Renaciente;9
SAN PABLO DE BORBUR;GRAN ALIANZA POR BOYACA;2169
SAN PABLO DE BORBUR;JUNTOS #ESMOMENTO;1720
SAN PABLO DE BORBUR;MAIS;19
SANTA MARIA;Colombia Renaciente;13
SANTA MARIA;GRAN ALIANZA POR BOYACA;1062
SANTA MARIA;JUNTOS #ESMOMENTO;1000
SANTA MARIA;MAIS;11
SANTA ROSA DE VITERBO;Colombia Renaciente;114
SANTA ROSA DE VITERBO;GRAN ALIANZA POR BOYACA;4057
SANTA ROSA DE VITERBO;JUNTOS #ESMOMENTO;1276
SANTA ROSA DE VITERBO;MAIS;178
SANTA SOFIA;Colombia Renaciente;13
SANTA SOFIA;GRAN ALIANZA POR BOYACA;1361
SANTA SOFIA;JUNTOS #ESMOMENTO;534
SANTA SOFIA;MAIS;28
SANTANA;Colombia Renaciente;15
SANTANA;GRAN ALIANZA POR BOYACA;2739
SANTANA;JUNTOS #ESMOMENTO;1614
SANTANA;MAIS;137
SATIVANORTE;Colombia Renaciente;6
SATIVANORTE;GRAN ALIANZA POR BOYACA;1076
SATIVANORTE;JUNTOS #ESMOMENTO;754
SATIVANORTE;MAIS;9
SATIVASUR;Colombia Renaciente;3
SATIVASUR;GRAN ALIANZA POR BOYACA;554
SATIVASUR;JUNTOS #ESMOMENTO;415
SATIVASUR;MAIS;12
SIACHOQUE;Colombia Renaciente;55
SIACHOQUE;GRAN ALIANZA POR BOYACA;2322
SIACHOQUE;JUNTOS #ESMOMENTO;1974
SIACHOQUE;MAIS;191
SOATA;Colombia Renaciente;213
SOATA;GRAN ALIANZA POR BOYACA;1224
SOATA;JUNTOS #ESMOMENTO;1520
SOATA;MAIS;2235
SOCHA;Colombia Renaciente;116
SOCHA;GRAN ALIANZA POR BOYACA;3300
SOCHA;JUNTOS #ESMOMENTO;767
SOCHA;MAIS;70
SOCOTA;Colombia Renaciente;35
SOCOTA;GRAN ALIANZA POR BOYACA;3004
SOCOTA;JUNTOS #ESMOMENTO;788
SOCOTA;MAIS;97
SOGAMOSO;Colombia Renaciente;1363
SOGAMOSO;GRAN ALIANZA POR BOYACA;42259
SOGAMOSO;JUNTOS #ESMOMENTO;9479
SOGAMOSO;MAIS;1998
SOMONDOCO;Colombia Renaciente;14
SOMONDOCO;GRAN ALIANZA POR BOYACA;1453
SOMONDOCO;JUNTOS #ESMOMENTO;455
SOMONDOCO;MAIS;6
SORA;Colombia Renaciente;39
SORA;GRAN ALIANZA POR BOYACA;1205
SORA;JUNTOS #ESMOMENTO;682
SORA;MAIS;226
SORACA;Colombia Renaciente;53
SORACA;GRAN ALIANZA POR BOYACA;2060
SORACA;JUNTOS #ESMOMENTO;1734
SORACA;MAIS;477
SOTAQUIRA;Colombia Renaciente;35
SOTAQUIRA;GRAN ALIANZA POR BOYACA;2698
SOTAQUIRA;JUNTOS #ESMOMENTO;772
SOTAQUIRA;MAIS;657
SUSACON;Colombia Renaciente;24
SUSACON;GRAN ALIANZA POR BOYACA;965
SUSACON;JUNTOS #ESMOMENTO;906
SUSACON;MAIS;78
SUTAMARCHAN;Colombia Renaciente;40
SUTAMARCHAN;GRAN ALIANZA POR BOYACA;2578
SUTAMARCHAN;JUNTOS #ESMOMENTO;1777
SUTAMARCHAN;MAIS;113
SUTATENZA;Colombia Renaciente;15
SUTATENZA;GRAN ALIANZA POR BOYACA;1449
SUTATENZA;JUNTOS #ESMOMENTO;933
SUTATENZA;MAIS;37
TASCO;Colombia Renaciente;25
TASCO;GRAN ALIANZA POR BOYACA;2852
TASCO;JUNTOS #ESMOMENTO;466
TASCO;MAIS;48
TENZA;Colombia Renaciente;13
TENZA;GRAN ALIANZA POR BOYACA;1474
TENZA;JUNTOS #ESMOMENTO;915
TENZA;MAIS;68
TIBANA;Colombia Renaciente;64
TIBANA;GRAN ALIANZA POR BOYACA;3858
TIBANA;JUNTOS #ESMOMENTO;749
TIBANA;MAIS;96
TIBASOSA;Colombia Renaciente;103
TIBASOSA;GRAN ALIANZA POR BOYACA;4608
TIBASOSA;JUNTOS #ESMOMENTO;1043
TIBASOSA;MAIS;319
TINJACA;Colombia Renaciente;22
TINJACA;GRAN ALIANZA POR BOYACA;1005
TINJACA;JUNTOS #ESMOMENTO;887
TINJACA;MAIS;179
TIPACOQUE;Colombia Renaciente;47
TIPACOQUE;GRAN ALIANZA POR BOYACA;1437
TIPACOQUE;JUNTOS #ESMOMENTO;665
TIPACOQUE;MAIS;188
TOCA;Colombia Renaciente;90
TOCA;GRAN ALIANZA POR BOYACA;2904
TOCA;JUNTOS #ESMOMENTO;557
TOCA;MAIS;1806
TOGUI;Colombia Renaciente;21
TOGUI;GRAN ALIANZA POR BOYACA;1670
TOGUI;JUNTOS #ESMOMENTO;796
TOGUI;MAIS;75
TOPAGA;Colombia Renaciente;17
TOPAGA;GRAN ALIANZA POR BOYACA;1363
TOPAGA;JUNTOS #ESMOMENTO;947
TOPAGA;MAIS;66
TOTA;Colombia Renaciente;11
TOTA;GRAN ALIANZA POR BOYACA;1738
TOTA;JUNTOS #ESMOMENTO;943
TOTA;MAIS;168
TUNJA;Colombia Renaciente;7745
TUNJA;GRAN ALIANZA POR BOYACA;43434
TUNJA;JUNTOS #ESMOMENTO;17011
TUNJA;MAIS;8197
TUNUNGUA;GRAN ALIANZA POR BOYACA;265
TUNUNGUA;JUNTOS #ESMOMENTO;641
TUNUNGUA;MAIS;5
TURMEQUE;Colombia Renaciente;24
TURMEQUE;GRAN ALIANZA POR BOYACA;3040
TURMEQUE;JUNTOS #ESMOMENTO;448
TURMEQUE;MAIS;100
TUTA;Colombia Renaciente;123
TUTA;GRAN ALIANZA POR BOYACA;3116
TUTA;JUNTOS #ESMOMENTO;2314
TUTA;MAIS;283
TUTAZA;Colombia Renaciente;13
TUTAZA;GRAN ALIANZA POR BOYACA;1143
TUTAZA;JUNTOS #ESMOMENTO;213
TUTAZA;MAIS;180
UMBITA;Colombia Renaciente;18
UMBITA;GRAN ALIANZA POR BOYACA;2354
UMBITA;JUNTOS #ESMOMENTO;1217
UMBITA;MAIS;468
VENTAQUEMADA;Colombia Renaciente;33
VENTAQUEMADA;GRAN ALIANZA POR BOYACA;5316
VENTAQUEMADA;JUNTOS #ESMOMENTO;1902
VENTAQUEMADA;MAIS;705
VILLA DE LEIVA;Colombia Renaciente;195
VILLA DE LEIVA;GRAN ALIANZA POR BOYACA;5713
VILLA DE LEIVA;JUNTOS #ESMOMENTO;1973
VILLA DE LEIVA;MAIS;326
VIRACACHA;Colombia Renaciente;15
VIRACACHA;GRAN ALIANZA POR BOYACA;940
VIRACACHA;JUNTOS #ESMOMENTO;878
VIRACACHA;MAIS;26
ZETAQUIRA;Colombia Renaciente;15
ZETAQUIRA;GRAN ALIANZA POR BOYACA;2784
ZETAQUIRA;JUNTOS #ESMOMENTO;372
ZETAQUIRA;MAIS;43
