MUNNOMBRE,PARNOMBRE,TOTALVOTOSVALIDOS,PORCENTAJE
ALMEIDA;LUZ MARINA ARIAS PLAZAS;PARTIDO CAMBIO RADICAL;9,ALMEIDA;LUZ MARINA ARIAS PLAZAS;PARTIDO CAMBIO RADICAL;9,0.0,0.0
ALMEIDA;MARIA ALEJANDRA GRANADOS ZEA;PARTIDO CAMBIO RADICAL;1,ALMEIDA;MARIA ALEJANDRA GRANADOS ZEA;PARTIDO CAMBIO RADICAL;1,0.0,0.0
ALMEIDA;MARYE YANETH FRANCO;BOYACA POTENCIA DE VIDA;1,ALMEIDA;MARYE YANETH FRANCO;BOYACÁ POTENCIA DE VIDA;1,0.0,0.0
ALMEIDA;MARYORY CATHERIN ORTIZ ALVAREZ;BOYACA POTENCIA DE VIDA;3,ALMEIDA;MARYORY CATHERIN ORTIZ ALVAREZ;BOYACÁ POTENCIA DE VIDA;3,0.0,0.0
ALMEIDA;MOVIMIENTO SALVACION NACIONAL;MOVIMIENTO SALVACION NACIONAL;9,ALMEIDA;MOVIMIENTO  SALVACIÓN NACIONAL;MOVIMIENTO SALVACIÓN NACIONAL;9,0.0,0.0
ALMEIDA;NADIA ALEXANDRA CARRENO AVELLA;PARTIDO DE LA U-PARTIDO EN MARCHA-PARTIDO POLITICO MIRA;4,ALMEIDA;NADIA ALEXANDRA CARREÑO AVELLA;PARTIDO DE LA U-PARTIDO EN MARCHA-PARTIDO POLÍTICO MIRA;4,0.0,0.0
ALMEIDA;NELSON FABIAN PEREZ BURGOS;PARTIDO CAMBIO RADICAL;32,ALMEIDA;NELSON FABIAN PEREZ BURGOS;PARTIDO CAMBIO RADICAL;32,0.0,0.0
ALMEIDA;NELSON HERNANDO ROA RUBIO;PARTIDO DE LA U-PARTIDO EN MARCHA-PARTIDO POLITICO MIRA;1,ALMEIDA;NELSON HERNANDO ROA RUBIO;PARTIDO DE LA U-PARTIDO EN MARCHA-PARTIDO POLÍTICO MIRA;1,0.0,0.0
ALMEIDA;NEREO BARON TELLEZ;BOYACA POTENCIA DE VIDA;1,ALMEIDA;NEREO BARON TELLEZ;BOYACÁ POTENCIA DE VIDA;1,0.0,0.0
ALMEIDA;NICOLL DAYANA CARVAJAL PULIDO;PARTIDO ALIANZA VERDE;27,ALMEIDA;NICOLL DAYANA CARVAJAL PULIDO;PARTIDO ALIANZA VERDE;27,0.0,0.0
ALMEIDA;NINY YOHANA MORENO;PARTIDO ALIANZA VERDE;1,ALMEIDA;NINY YOHANA MORENO;PARTIDO ALIANZA VERDE;1,0.0,0.0
ALMEIDA;NUEVA FUERZA DEMOCRATICA;NUEVA FUERZA DEMOCRATICA;57,ALMEIDA;NUEVA FUERZA DEMOCRÁTICA;NUEVA FUERZA DEMOCRÁTICA;57,0.0,0.0
ALMEIDA;OLGA MARIA CHIVATA VARGAS;PARTIDO LIBERAL COLOMBIANO;4,ALMEIDA;OLGA MARIA CHIVATA VARGAS;PARTIDO LIBERAL COLOMBIANO;4,0.0,0.0
ALMEIDA;OLGA NINO ROJAS;PARTIDO CONSERVADOR COLOMBIANO Y EL PARTIDO ASI;1,ALMEIDA;OLGA NIÑO ROJAS;PARTIDO CONSERVADOR COLOMBIANO Y EL PARTIDO ASI;1,0.0,0.0
ALMEIDA;OMAR FERNANDO VALDERRAMA BAEZ;PARTIDO CENTRO DEMOCRATICO;7,ALMEIDA;OMAR FERNANDO VALDERRAMA BAEZ;PARTIDO CENTRO DEMOCRÁTICO;7,0.0,0.0
ALMEIDA;OMAR HUMBERTO VILLAMIL MUNEVAR;PARTIDO ALIANZA VERDE;2,ALMEIDA;OMAR HUMBERTO VILLAMIL MUNEVAR;PARTIDO ALIANZA VERDE;2,0.0,0.0
ALMEIDA;PARTIDO ALIANZA VERDE;PARTIDO ALIANZA VERDE;18,ALMEIDA;PARTIDO ALIANZA VERDE;PARTIDO ALIANZA VERDE;18,0.0,0.0
ALMEIDA;PARTIDO CAMBIO RADICAL;PARTIDO CAMBIO RADICAL;9,ALMEIDA;PARTIDO CAMBIO RADICAL;PARTIDO CAMBIO RADICAL;9,0.0,0.0
ALMEIDA;PARTIDO CENTRO DEMOCRATICO;PARTIDO CENTRO DEMOCRATICO;7,ALMEIDA;PARTIDO CENTRO DEMOCRÁTICO;PARTIDO CENTRO DEMOCRÁTICO;7,0.0,0.0
ALMEIDA;PARTIDO CONSERVADOR COLOMBIANO Y EL PARTIDO ASI;PARTIDO CONSERVADOR COLOMBIANO Y EL PARTIDO ASI;16,ALMEIDA;PARTIDO CONSERVADOR COLOMBIANO Y EL PARTIDO ASI;PARTIDO CONSERVADOR COLOMBIANO Y EL PARTIDO ASI;16,0.0,0.0
ALMEIDA;PARTIDO DE LA U-PARTIDO EN MARCHA-PARTIDO POLITICO MIRA;PARTIDO DE LA U-PARTIDO EN MARCHA-PARTIDO POLITICO MIRA;5,ALMEIDA;PARTIDO DE LA U-PARTIDO EN MARCHA-PARTIDO POLÍTICO MIRA;PARTIDO DE LA U-PARTIDO EN MARCHA-PARTIDO POLÍTICO MIRA;5,0.0,0.0
ALMEIDA;PARTIDO LIBERAL COLOMBIANO;PARTIDO LIBERAL COLOMBIANO;9,ALMEIDA;PARTIDO LIBERAL COLOMBIANO;PARTIDO LIBERAL COLOMBIANO;9,0.0,0.0
ALMEIDA;PEDRO PABLO SALAS HERNANDEZ;PARTIDO ALIANZA VERDE;2,ALMEIDA;PEDRO PABLO SALAS HERNANDEZ;PARTIDO ALIANZA VERDE;2,0.0,0.0
ALMEIDA;RAFAEL DAVID ROJAS CRISTANCHO;PARTIDO DE LA U-PARTIDO EN MARCHA-PARTIDO POLITICO MIRA;3,ALMEIDA;RAFAEL DAVID ROJAS CRISTANCHO;PARTIDO DE LA U-PARTIDO EN MARCHA-PARTIDO POLÍTICO MIRA;3,0.0,0.0
ALMEIDA;REYES BERNARDO PEREZ ALVAREZ;PARTIDO DE LA U-PARTIDO EN MARCHA-PARTIDO POLITICO MIRA;2,ALMEIDA;REYES BERNARDO PEREZ ALVAREZ;PARTIDO DE LA U-PARTIDO EN MARCHA-PARTIDO POLÍTICO MIRA;2,0.0,0.0
ALMEIDA;ROBINSON MONTOYA PEREZ;PARTIDO ALIANZA VERDE;4,ALMEIDA;ROBINSON MONTOYA PEREZ;PARTIDO ALIANZA VERDE;4,0.0,0.0
ALMEIDA;ROMAN HERNANDO ORTEGA HERNANDEZ;PARTIDO ALIANZA VERDE;3,ALMEIDA;ROMAN HERNANDO ORTEGA HERNANDEZ;PARTIDO ALIANZA VERDE;3,0.0,0.0
ALMEIDA;SANDRA PATRICIA FIGUEREDO RAMIREZ;PARTIDO CAMBIO RADICAL;7,ALMEIDA;SANDRA PATRICIA FIGUEREDO RAMIREZ;PARTIDO CAMBIO RADICAL;7,0.0,0.0
ALMEIDA;SINDI PAOLA MARCIALES FUQUEN;PARTIDO CENTRO DEMOCRATICO;1,ALMEIDA;SINDI PAOLA MARCIALES FUQUEN;PARTIDO CENTRO DEMOCRÁTICO;1,0.0,0.0
ALMEIDA;VOTOS EN BLANCO;CANDIDATOS TOTALES;84,ALMEIDA;VOTOS EN BLANCO;CANDIDATOS TOTALES;84,0.0,0.0
ALMEIDA;VOTOS NO MARCADOS;CANDIDATOS TOTALES;280,ALMEIDA;VOTOS NO MARCADOS;CANDIDATOS TOTALES;280,0.0,0.0
ALMEIDA;VOTOS NULOS;CANDIDATOS TOTALES;34,ALMEIDA;VOTOS NULOS;CANDIDATOS TOTALES;34,0.0,0.0
ALMEIDA;WILLIAN DAVID PABON JIMENEZ;PARTIDO DE LA U-PARTIDO EN MARCHA-PARTIDO POLITICO MIRA;1,ALMEIDA;WILLIAN DAVID PABON JIMENEZ;PARTIDO DE LA U-PARTIDO EN MARCHA-PARTIDO POLÍTICO MIRA;1,0.0,0.0
ALMEIDA;YEFER ALEXANDER PINZON ALVAREZ;PARTIDO CONSERVADOR COLOMBIANO Y EL PARTIDO ASI;11,ALMEIDA;YEFER ALEXANDER PINZON ALVAREZ;PARTIDO CONSERVADOR COLOMBIANO Y EL PARTIDO ASI;11,0.0,0.0
ALMEIDA;YENNIFERT CELIS PARRA;PARTIDO LIBERAL COLOMBIANO;1,ALMEIDA;YENNIFERT CELIS PARRA;PARTIDO LIBERAL COLOMBIANO;1,0.0,0.0
ALMEIDA;YENNY PAOLA SANDOVAL RUBIO;BOYACA POTENCIA DE VIDA;2,ALMEIDA;YENNY PAOLA SANDOVAL RUBIO;BOYACÁ POTENCIA DE VIDA;2,0.0,0.0
ALMEIDA;YERLY TATIANA ORDONEZ HERRERA;PARTIDO CENTRO DEMOCRATICO;2,ALMEIDA;YERLY TATIANA ORDOÑEZ HERRERA;PARTIDO CENTRO DEMOCRÁTICO;2,0.0,0.0
ALMEIDA;YERSON NICOLAS CORTES ESTEBAN;BOYACA POTENCIA DE VIDA;6,ALMEIDA;YERSON NICOLAS CORTES ESTEBAN;BOYACÁ POTENCIA DE VIDA;6,0.0,0.0
ALMEIDA;YUDY ALEXANDRA FORERO PENA;PARTIDO CENTRO DEMOCRATICO;3,ALMEIDA;YUDY ALEXANDRA FORERO PEÑA;PARTIDO CENTRO DEMOCRÁTICO;3,0.0,0.0
