MUNNOMBRE;PARNOMBRE;VOTOS;TOTAL_VOTOS;PORCENTAJE
SANTA SOFIA;Alianza Verde;70;936;7.48
SANTA SOFIA;Centro Democrático;707;936;75.53
SANTA SOFIA;Partido de la U;159;936;16.99
SANTANA;Alianza Social Independiente;63;2236;2.82
SANTANA;Centro Democrático;1637;2236;73.21
SANTANA;Partido de la U;536;2236;23.97
SATIVANORTE;Alianza Verde;640;1762;36.32
SATIVANORTE;Centro Democrático;818;1762;46.42
SATIVANORTE;Partido de la U;304;1762;17.25
SATIVASUR;Partido Conservador Colombiano;498;989;50.35
SATIVASUR;Partido Liberal Colombiano;491;989;49.65
SIACHOQUE;Alianza Social Independiente;69;2100;3.29
SIACHOQUE;Partido Conservador Colombiano;1353;2100;64.43
SIACHOQUE;Partido Liberal Colombiano;146;2100;6.95
SIACHOQUE;Partido de la U;532;2100;25.33
SOATA;Centro Democrático;2360;2360;100.0
SOCHA;Alianza Verde;1435;4060;35.34
SOCHA;Centro Democrático;606;4060;14.93
SOCHA;Partido Conservador Colombiano;556;4060;13.69
SOCHA;Partido Liberal Colombiano;1463;4060;36.03
SOCOTA;Alianza Verde;997;4017;24.82
SOCOTA;Centro Democrático;868;4017;21.61
SOCOTA;Partido Liberal Colombiano;1579;4017;39.31
SOCOTA;Partido de la U;573;4017;14.26
SOGAMOSO;Centro Democrático;10025;37403;26.8
SOGAMOSO;MAIS;3604;37403;9.64
SOGAMOSO;Partido Liberal Colombiano;10882;37403;29.09
SOGAMOSO;Partido de la U;12892;37403;34.47
SOMONDOCO;Alianza Verde;334;1965;17.0
SOMONDOCO;Partido Conservador Colombiano;543;1965;27.63
SOMONDOCO;Partido Liberal Colombiano;1088;1965;55.37
SORA;Alianza Social Independiente;1064;1064;100.0
SORACA;Alianza Verde;2218;4122;53.81
SORACA;Partido Liberal Colombiano;1571;4122;38.11
SORACA;Partido de la U;333;4122;8.08
SOTAQUIRA;Partido Conservador Colombiano;599;3227;18.56
SOTAQUIRA;Partido Liberal Colombiano;1914;3227;59.31
SOTAQUIRA;Partido de la U;714;3227;22.13
SUSACON;Partido Conservador Colombiano;1647;1947;84.59
SUSACON;Partido de la U;300;1947;15.41
SUTAMARCHAN;Alianza Verde;1966;1966;100.0
SUTATENZA;Centro Democrático;238;2669;8.92
SUTATENZA;Partido Conservador Colombiano;1194;2669;44.74
SUTATENZA;Partido Liberal Colombiano;1237;2669;46.35
TASCO;Alianza Verde;1676;2377;70.51
TASCO;Partido de la U;701;2377;29.49
TENZA;Alianza Verde;178;1002;17.76
TENZA;Partido Liberal Colombiano;824;1002;82.24
TIBANA;Alianza Verde;39;1717;2.27
TIBANA;Centro Democrático;278;1717;16.19
TIBANA;Partido Liberal Colombiano;1400;1717;81.54
TIBASOSA;Alianza Verde;316;1823;17.33
TIBASOSA;Partido Conservador Colombiano;1167;1823;64.02
TIBASOSA;Partido de la U;340;1823;18.65
TINJACA;Alianza Verde;492;920;53.48
TINJACA;Partido Conservador Colombiano;419;920;45.54
TINJACA;Partido Liberal Colombiano;9;920;0.98
TIPACOQUE;Alianza Social Independiente;234;1166;20.07
TIPACOQUE;Alianza Verde;50;1166;4.29
TIPACOQUE;Partido Liberal Colombiano;882;1166;75.64
TOCA;Centro Democrático;1530;2552;59.95
TOCA;Partido Liberal Colombiano;975;2552;38.21
TOCA;Partido de la U;47;2552;1.84
TOGUI;Alianza Verde;7;2716;0.26
TOGUI;Partido Conservador Colombiano;1744;2716;64.21
TOGUI;Partido Liberal Colombiano;780;2716;28.72
TOGUI;Partido de la U;185;2716;6.81
TOPAGA;Partido Conservador Colombiano;1538;1538;100.0
TOTA;Alianza Social Independiente;13;44;29.55
TOTA;Alianza Verde;31;44;70.45
TUNJA;Alianza Social Independiente;1481;31543;4.7
TUNJA;Centro Democrático;1173;31543;3.72
TUNJA;Partido Conservador Colombiano;21788;31543;69.07
TUNJA;Partido de la U;7101;31543;22.51
TUNUNGUA;Alianza Verde;408;408;100.0
TURMEQUE;Partido Liberal Colombiano;1688;3711;45.49
TURMEQUE;Partido de la U;2023;3711;54.51
TUTA;Centro Democrático;7;2127;0.33
TUTA;Partido Conservador Colombiano;2120;2127;99.67
TUTAZA;Partido de la U;847;847;100.0
UMBITA;Alianza Verde;1246;3880;32.11
UMBITA;Centro Democrático;2622;3880;67.58
UMBITA;Partido Liberal Colombiano;12;3880;0.31
VENTAQUEMADA;Alianza Social Independiente;590;1426;41.37
VENTAQUEMADA;Alianza Verde;615;1426;43.13
VENTAQUEMADA;Partido Liberal Colombiano;221;1426;15.5
VILLA DE LEYVA;Centro Democrático;1022;4968;20.57
VILLA DE LEYVA;Partido Conservador Colombiano;275;4968;5.54
VILLA DE LEYVA;Partido Liberal Colombiano;978;4968;19.69
VILLA DE LEYVA;Partido de la U;2693;4968;54.21
VIRACACHA;Alianza Verde;70;1923;3.64
VIRACACHA;Partido Conservador Colombiano;890;1923;46.28
VIRACACHA;Partido Liberal Colombiano;927;1923;48.21
VIRACACHA;Partido de la U;36;1923;1.87
ZETAQUIRA;Partido Liberal Colombiano;2947;2947;100.0
