MUNNOMBRE;CANNOMBRE;PARNOMBRE;VOTOS
LA CAPILLA;MENDIETA POVEDA JORGE ARMANDO;19970004;9
LA UVITA;GRANADOS BECERRA JUAN CARLOS;20110258;686
LA UVITA;GUARIN VIVAS GONZALO;20090002;487
LA UVITA;BARON NEIRA LEON RIGOBERTO;18490002;462
LA UVITA;MENDIETA POVEDA JORGE ARMANDO;19970004;17
LA VICTORIA;GRANADOS BECERRA JUAN CARLOS;20110258;535
LA VICTORIA;GUARIN VIVAS GONZALO;20090002;196
LA VICTORIA;BARON NEIRA LEON RIGOBERTO;18490002;23
LA VICTORIA;MENDIETA POVEDA JORGE ARMANDO;19970004;14
LABRANZAGRANDE;GUARIN VIVAS GONZALO;20090002;685
LABRANZAGRANDE;BARON NEIRA LEON RIGOBERTO;18490002;545
LABRANZAGRANDE;GRANADOS BECERRA JUAN CARLOS;20110258;431
LABRANZAGRANDE;MENDIETA POVEDA JORGE ARMANDO;19970004;3
MACANAL;GRANADOS BECERRA JUAN CARLOS;20110258;1250
MACANAL;BARON NEIRA LEON RIGOBERTO;18490002;730
MACANAL;GUARIN VIVAS GONZALO;20090002;171
MACANAL;MENDIETA POVEDA JORGE ARMANDO;19970004;20
MARIPI;GRANADOS BECERRA JUAN CARLOS;20110258;1910
MARIPI;GUARIN VIVAS GONZALO;20090002;1223
MARIPI;BARON NEIRA LEON RIGOBERTO;18490002;751
MARIPI;MENDIETA POVEDA JORGE ARMANDO;19970004;16
MIRAFLORES;GRANADOS BECERRA JUAN CARLOS;20110258;3089
MIRAFLORES;GUARIN VIVAS GONZALO;20090002;1244
MIRAFLORES;BARON NEIRA LEON RIGOBERTO;18490002;197
MIRAFLORES;MENDIETA POVEDA JORGE ARMANDO;19970004;34
MONGUA;GRANADOS BECERRA JUAN CARLOS;20110258;1480
MONGUA;GUARIN VIVAS GONZALO;20090002;646
MONGUA;BARON NEIRA LEON RIGOBERTO;18490002;517
MONGUA;MENDIETA POVEDA JORGE ARMANDO;19970004;24
MONGUI;GRANADOS BECERRA JUAN CARLOS;20110258;1493
MONGUI;GUARIN VIVAS GONZALO;20090002;481
MONGUI;BARON NEIRA LEON RIGOBERTO;18490002;331
MONGUI;MENDIETA POVEDA JORGE ARMANDO;19970004;12
MONIQUIRA;GRANADOS BECERRA JUAN CARLOS;20110258;4482
MONIQUIRA;BARON NEIRA LEON RIGOBERTO;18490002;2681
MONIQUIRA;GUARIN VIVAS GONZALO;20090002;1005
MONIQUIRA;MENDIETA POVEDA JORGE ARMANDO;19970004;134
MOTAVITA;GRANADOS BECERRA JUAN CARLOS;20110258;2388
MOTAVITA;GUARIN VIVAS GONZALO;20090002;443
MOTAVITA;BARON NEIRA LEON RIGOBERTO;18490002;240
MOTAVITA;MENDIETA POVEDA JORGE ARMANDO;19970004;75
MUZO;GRANADOS BECERRA JUAN CARLOS;20110258;1940
MUZO;BARON NEIRA LEON RIGOBERTO;18490002;918
MUZO;GUARIN VIVAS GONZALO;20090002;689
MUZO;MENDIETA POVEDA JORGE ARMANDO;19970004;83
NOBSA;GRANADOS BECERRA JUAN CARLOS;20110258;5173
NOBSA;GUARIN VIVAS GONZALO;20090002;2073
NOBSA;BARON NEIRA LEON RIGOBERTO;18490002;686
NOBSA;MENDIETA POVEDA JORGE ARMANDO;19970004;20
NUEVO COLON;GRANADOS BECERRA JUAN CARLOS;20110258;1870
NUEVO COLON;GUARIN VIVAS GONZALO;20090002;805
NUEVO COLON;BARON NEIRA LEON RIGOBERTO;18490002;197
NUEVO COLON;MENDIETA POVEDA JORGE ARMANDO;19970004;13
OICATA;GRANADOS BECERRA JUAN CARLOS;20110258;1075
OICATA;GUARIN VIVAS GONZALO;20090002;265
OICATA;BARON NEIRA LEON RIGOBERTO;18490002;252
OICATA;MENDIETA POVEDA JORGE ARMANDO;19970004;9
OTANCHE;GRANADOS BECERRA JUAN CARLOS;20110258;2340
OTANCHE;GUARIN VIVAS GONZALO;20090002;539
OTANCHE;BARON NEIRA LEON RIGOBERTO;18490002;517
OTANCHE;MENDIETA POVEDA JORGE ARMANDO;19970004;96
PACHAVITA;GRANADOS BECERRA JUAN CARLOS;20110258;678
PACHAVITA;BARON NEIRA LEON RIGOBERTO;18490002;331
PACHAVITA;GUARIN VIVAS GONZALO;20090002;252
PACHAVITA;MENDIETA POVEDA JORGE ARMANDO;19970004;11
PAEZ;GRANADOS BECERRA JUAN CARLOS;20110258;1266
PAEZ;GUARIN VIVAS GONZALO;20090002;153
PAEZ;BARON NEIRA LEON RIGOBERTO;18490002;16
PAEZ;MENDIETA POVEDA JORGE ARMANDO;19970004;9
PAIPA;GRANADOS BECERRA JUAN CARLOS;20110258;6706
PAIPA;GUARIN VIVAS GONZALO;20090002;5366
PAIPA;BARON NEIRA LEON RIGOBERTO;18490002;2460
PAIPA;MENDIETA POVEDA JORGE ARMANDO;19970004;27
PAJARITO;GRANADOS BECERRA JUAN CARLOS;20110258;867
PAJARITO;GUARIN VIVAS GONZALO;20090002;45
PAJARITO;BARON NEIRA LEON RIGOBERTO;18490002;43
PAJARITO;MENDIETA POVEDA JORGE ARMANDO;19970004;3
PANQUEBA;BARON NEIRA LEON RIGOBERTO;18490002;650
PANQUEBA;GRANADOS BECERRA JUAN CARLOS;20110258;268
PANQUEBA;GUARIN VIVAS GONZALO;20090002;23
PANQUEBA;MENDIETA POVEDA JORGE ARMANDO;19970004;6
PAUNA;GRANADOS BECERRA JUAN CARLOS;20110258;2106
PAUNA;BARON NEIRA LEON RIGOBERTO;18490002;1361
PAUNA;GUARIN VIVAS GONZALO;20090002;211
PAUNA;MENDIETA POVEDA JORGE ARMANDO;19970004;49
PAYA;GUARIN VIVAS GONZALO;20090002;547
PAYA;BARON NEIRA LEON RIGOBERTO;18490002;248
PAYA;GRANADOS BECERRA JUAN CARLOS;20110258;121
PAYA;MENDIETA POVEDA JORGE ARMANDO;19970004;5
PAZ DE RIO;GRANADOS BECERRA JUAN CARLOS;20110258;1301
PAZ DE RIO;GUARIN VIVAS GONZALO;20090002;958
PAZ DE RIO;BARON NEIRA LEON RIGOBERTO;18490002;332
PAZ DE RIO;MENDIETA POVEDA JORGE ARMANDO;19970004;10
PESCA;GRANADOS BECERRA JUAN CARLOS;20110258;1607
PESCA;GUARIN VIVAS GONZALO;20090002;1314
PESCA;BARON NEIRA LEON RIGOBERTO;18490002;565
PESCA;MENDIETA POVEDA JORGE ARMANDO;19970004;87
PISBA;GUARIN VIVAS GONZALO;20090002;449
PISBA;BARON NEIRA LEON RIGOBERTO;18490002;202
PISBA;GRANADOS BECERRA JUAN CARLOS;20110258;45
PISBA;MENDIETA POVEDA JORGE ARMANDO;19970004;0
PUERTO BOYACA;GRANADOS BECERRA JUAN CARLOS;20110258;9638
PUERTO BOYACA;GUARIN VIVAS GONZALO;20090002;3005
PUERTO BOYACA;BARON NEIRA LEON RIGOBERTO;18490002;1241
PUERTO BOYACA;MENDIETA POVEDA JORGE ARMANDO;19970004;375
QUIPAMA;GUARIN VIVAS GONZALO;20090002;1308
QUIPAMA;GRANADOS BECERRA JUAN CARLOS;20110258;1055
QUIPAMA;BARON NEIRA LEON RIGOBERTO;18490002;163
QUIPAMA;MENDIETA POVEDA JORGE ARMANDO;19970004;32
RAMIRIQUI;GRANADOS BECERRA JUAN CARLOS;20110258;3846
RAMIRIQUI;BARON NEIRA LEON RIGOBERTO;18490002;883
RAMIRIQUI;GUARIN VIVAS GONZALO;20090002;306
RAMIRIQUI;MENDIETA POVEDA JORGE ARMANDO;19970004;32
RAQUIRA;GRANADOS BECERRA JUAN CARLOS;20110258;1569
RAQUIRA;GUARIN VIVAS GONZALO;20090002;924
RAQUIRA;BARON NEIRA LEON RIGOBERTO;18490002;235
RAQUIRA;MENDIETA POVEDA JORGE ARMANDO;19970004;28
RONDON;GRANADOS BECERRA JUAN CARLOS;20110258;879
RONDON;BARON NEIRA LEON RIGOBERTO;18490002;495
RONDON;GUARIN VIVAS GONZALO;20090002;109
RONDON;MENDIETA POVEDA JORGE ARMANDO;19970004;10
SABOYA;BARON NEIRA LEON RIGOBERTO;18490002;2628
SABOYA;GRANADOS BECERRA JUAN CARLOS;20110258;2307
SABOYA;GUARIN VIVAS GONZALO;20090002;850
SABOYA;MENDIETA POVEDA JORGE ARMANDO;19970004;60
SACHICA;GRANADOS BECERRA JUAN CARLOS;20110258;1175
SACHICA;GUARIN VIVAS GONZALO;20090002;688
SACHICA;BARON NEIRA LEON RIGOBERTO;18490002;198
SACHICA;MENDIETA POVEDA JORGE ARMANDO;19970004;20
SAMACA;GUARIN VIVAS GONZALO;20090002;4028
SAMACA;GRANADOS BECERRA JUAN CARLOS;20110258;3688
SAMACA;BARON NEIRA LEON RIGOBERTO;18490002;182
SAMACA;MENDIETA POVEDA JORGE ARMANDO;19970004;33
SAN EDUARDO;GRANADOS BECERRA JUAN CARLOS;20110258;811
SAN EDUARDO;GUARIN VIVAS GONZALO;20090002;94
SAN EDUARDO;BARON NEIRA LEON RIGOBERTO;18490002;84
SAN EDUARDO;MENDIETA POVEDA JORGE ARMANDO;19970004;4
SAN JOSE DE PARE;GRANADOS BECERRA JUAN CARLOS;20110258;1873
SAN JOSE DE PARE;BARON NEIRA LEON RIGOBERTO;18490002;589
SAN JOSE DE PARE;GUARIN VIVAS GONZALO;20090002;454
SAN JOSE DE PARE;MENDIETA POVEDA JORGE ARMANDO;19970004;30
SAN LUIS DE GACENO;GRANADOS BECERRA JUAN CARLOS;20110258;1484
SAN LUIS DE GACENO;BARON NEIRA LEON RIGOBERTO;18490002;815
SAN LUIS DE GACENO;GUARIN VIVAS GONZALO;20090002;482
SAN LUIS DE GACENO;MENDIETA POVEDA JORGE ARMANDO;19970004;18
SAN MATEO;BARON NEIRA LEON RIGOBERTO;18490002;1013
SAN MATEO;GRANADOS BECERRA JUAN CARLOS;20110258;860
SAN MATEO;GUARIN VIVAS GONZALO;20090002;413
SAN MATEO;MENDIETA POVEDA JORGE ARMANDO;19970004;23
SAN MIGUEL DE SEMA;GRANADOS BECERRA JUAN CARLOS;20110258;990
SAN MIGUEL DE SEMA;BARON NEIRA LEON RIGOBERTO;18490002;562
SAN MIGUEL DE SEMA;GUARIN VIVAS GONZALO;20090002;38
SAN MIGUEL DE SEMA;MENDIETA POVEDA JORGE ARMANDO;19970004;15
SAN PABLO DE BORBUR;GRANADOS BECERRA JUAN CARLOS;20110258;1529
SAN PABLO DE BORBUR;BARON NEIRA LEON RIGOBERTO;18490002;886
SAN PABLO DE BORBUR;GUARIN VIVAS GONZALO;20090002;420
SAN PABLO DE BORBUR;MENDIETA POVEDA JORGE ARMANDO;19970004;75
SANTA MARIA;GRANADOS BECERRA JUAN CARLOS;20110258;1344
SANTA MARIA;BARON NEIRA LEON RIGOBERTO;18490002;366
SANTA MARIA;GUARIN VIVAS GONZALO;20090002;194
SANTA MARIA;MENDIETA POVEDA JORGE ARMANDO;19970004;122
SANTA ROSA DE VITERBO;GRANADOS BECERRA JUAN CARLOS;20110258;2443
