MUNNOMBRE;CANNOMBRE;PARNOMBRE;VOTOS
JENESANO;Alfonso Castelblanco Galindo;UNA MISION DE TODOS;1838
JERICO;Mayerly Baez Merchan;PARTIDO SOCIAL DE UNIDAD NACIONAL  PARTIDO DE LA U;1340
JERICO;Jose Ignacio Camacho Siabato;PARTIDO CONSERVADOR COLOMBIANO;1260
LA CAPILLA;Raul Hernando Rodriguez Chavarro;PARTIDO ALIANZA VERDE;1056
LA CAPILLA;Hugo Peralta Gomez;PARTIDO SOCIAL DE UNIDAD NACIONAL  PARTIDO DE LA U;588
LA CAPILLA;Alvaro Efrain Rojas Bermudez;PARTIDO CONSERVADOR COLOMBIANO;284
LA UVITA;Ronald Gerardo Cordero Jaime;PARTIDO ALIANZA VERDE;545
LA UVITA;Victor Manuel Rosas Hernandez;PARTIDO CENTRO DEMOCRATICO;517
LA UVITA;Luis Guillermo Berrio Hernandez;PARTIDO CONSERVADOR COLOMBIANO - CAMBIO RADICAL;394
LA UVITA;Victor Manuel Galvis;PARTIDO SOCIAL DE UNIDAD NACIONAL  PARTIDO DE LA U;378
LA VICTORIA;Leonardo Vega Bustos;UINDOS POR UNA VICTORIA PROSPERA Y SOLIDARIA;674
LA VICTORIA;Cesar Eduardo Palacios Florido;PARTIDO CENTRO DEMOCRATICO;654
LABRANZAGRANDE;Erica Paola Peña Alvarez;AL SERVICIO DE LA GENTE;1017
LABRANZAGRANDE;Jorge Enrique Vanegas Pulido;PARA SEGUIR AVANZANDO;867
LABRANZAGRANDE;Hernando Abrahan Perez Fernandez;SEGUIMOS TRABAJANDO JUNTOS;702
MACANAL;Javier Andres Solano Rojas;PARTIDO CENTRO DEMOCRATICO;1255
MACANAL;Delmar Leonardo Roa Patiño;PARTIDO CONSERVADOR COLOMBIANO;930
MACANAL;German Danilo Salguero Abril;PARTIDO ALIANZA VERDE;368
MARIPI;Imer Yaridma Murcia Monroy;MARIPI, UN COMPROMISO DE CORAZON;2085
MARIPI;Miller Fair Romero Murcia;MARIPI PARA TODOS;2072
MIRAFLORES;Fredy Alexander Holguin Ruiz;UNIDOS MIRAFLORES PROGRESA MAS;2917
MIRAFLORES;Nelson Hernando Roa Rubio;PARTIDO LIBERAL COLOMBIANO;1357
MIRAFLORES;Ledys Soraya Vera Monroy;ALCALDIA MIRAFLORES BOYACA;1326
MONGUA;Marco Fidel Silva Rojas;PARTIDO CONSERVADOR COLOMBIANO;1932
MONGUA;Miguel Angel Serrano Cely;PARTIDO CENTRO DEMOCRATICO;1406
MONGUI;Oswaldo Perez Quiroz;PARTIDO CENTRO DEMOCRATICO;1866
MONGUI;Nelson Edgardo Gutierrez Silva;UNIDOS PARA AVANZAR;539
MONGUI;Rafael Alonso Gomez Melo;PARTIDO ALIANZA VERDE;519
MONGUI;Carmen Luisa Barrera Carrero;PARTIDO SOCIAL DE UNIDAD NACIONAL  PARTIDO DE LA U;75
MONIQUIRA;Jose Clodomiro Ariza Pardo;MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL MAIS;4350
MONIQUIRA;Fredy Iovanny Pardo Pinzon;COALICION ENTRE EL PARTIDO DE LA U Y EL PARTIDO LIBERAL COLOMBIANO;3764
MONIQUIRA;Servilio Caicedo Ulloa;PARTIDO ALIANZA VERDE;1650
MONIQUIRA;Jorge Enrique Cordoba Orjuela;PARTIDO CENTRO DEMOCRATICO;1555
MONIQUIRA;Gretha Camela Camacho Torres;CONCIENCIA CIUDADANA - ASI;424
MONIQUIRA;Jorge Armando Solorzano Sierra;COALICION POR LA MONIQUIRA QUE QUEREMOS;122
MOTAVITA;Mery Mozo Fonseca;CONSTRUYENDO PROGRESO PARA MOTAVITA;2449
MOTAVITA;Dalila Yazmin Pamplona Pacheco;PARTIDO COLOMBIA RENACIENTE;581
