MUNNOMBRE,PARNOMBRE,TOTALVOTOSVALIDOS,PORCENTAJE
BUENAVISTA;CESAR MAURICIO BRICENO GONZALEZ;PARTIDO POLITICO CREEMOS;639,BUENAVISTA;CESAR MAURICIO BRICEÑO GONZALEZ;PARTIDO POLÍTICO CREEMOS;639,0.0,0.0
BUENAVISTA;EDWIN HARVEY ESPITIA LARA;PARTIDO DE LA UNION POR LA GENTE - PARTIDO DE LA U;1502,BUENAVISTA;EDWIN HARVEY ESPITIA LARA;PARTIDO DE LA UNIÓN POR LA GENTE - PARTIDO DE LA U;1502,0.0,0.0
BUENAVISTA;ELKIN FABIAN ALARCON PINILLA;SUMATE AL CAMBIO;892,BUENAVISTA;ELKIN FABIAN ALARCON PINILLA;SUMATE AL CAMBIO;892,0.0,0.0
BUENAVISTA;OVIDIO PARRA PENA;PARTIDO CAMBIO RADICAL;783,BUENAVISTA;OVIDIO PARRA PEÑA;PARTIDO CAMBIO RADICAL;783,0.0,0.0
BUENAVISTA;VOTOS EN BLANCO;CANDIDATOS TOTALES;8,BUENAVISTA;VOTOS EN BLANCO;CANDIDATOS TOTALES;8,0.0,0.0
BUENAVISTA;VOTOS NO MARCADOS;CANDIDATOS TOTALES;30,BUENAVISTA;VOTOS NO MARCADOS;CANDIDATOS TOTALES;30,0.0,0.0
BUENAVISTA;VOTOS NULOS;CANDIDATOS TOTALES;34,BUENAVISTA;VOTOS NULOS;CANDIDATOS TOTALES;34,0.0,0.0
BUSBANZA;HERMINIA DEL CARMEN TOLEDO GRANADOS;PARTIDO ALIANZA VERDE;415,BUSBANZA;HERMINIA DEL CARMEN TOLEDO GRANADOS;PARTIDO ALIANZA VERDE;415,0.0,0.0
BUSBANZA;RODOLFO ANDRES TORRES AGUDELO;PARTIDO CONSERVADOR COLOMBIANO;489,BUSBANZA;RODOLFO ANDRES TORRES AGUDELO;PARTIDO CONSERVADOR COLOMBIANO;489,0.0,0.0
BUSBANZA;VOTOS EN BLANCO;CANDIDATOS TOTALES;2,BUSBANZA;VOTOS EN BLANCO;CANDIDATOS TOTALES;2,0.0,0.0
BUSBANZA;VOTOS NO MARCADOS;CANDIDATOS TOTALES;2,BUSBANZA;VOTOS NO MARCADOS;CANDIDATOS TOTALES;2,0.0,0.0
BUSBANZA;VOTOS NULOS;CANDIDATOS TOTALES;4,BUSBANZA;VOTOS NULOS;CANDIDATOS TOTALES;4,0.0,0.0
"CALDAS;ANA AIDEE CANON AVELLA;""MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL """"MAIS"""""";20","CALDAS;ANA AIDEE CAÑON AVELLA;""MOVIMIENTO ALTERNATIVO INDÍGENA Y SOCIAL """"MAIS"""""";20",0.0,0.0
CALDAS;DIEGO ALEJANDRO LANCHEROS RUIZ;COALICION LIBERAL;1038,CALDAS;DIEGO ALEJANDRO LANCHEROS RUIZ;COALICION LIBERAL;1038,0.0,0.0
CALDAS;JOHN CARLOS PAEZ CRUZ;COALICION CALDAS TERRITORIO DE OPORTUNIDADES;763,CALDAS;JOHN CARLOS PAEZ CRUZ;COALICION CALDAS TERRITORIO DE OPORTUNIDADES;763,0.0,0.0
CALDAS;VOTOS EN BLANCO;CANDIDATOS TOTALES;21,CALDAS;VOTOS EN BLANCO;CANDIDATOS TOTALES;21,0.0,0.0
CALDAS;VOTOS NO MARCADOS;CANDIDATOS TOTALES;18,CALDAS;VOTOS NO MARCADOS;CANDIDATOS TOTALES;18,0.0,0.0
CALDAS;VOTOS NULOS;CANDIDATOS TOTALES;18,CALDAS;VOTOS NULOS;CANDIDATOS TOTALES;18,0.0,0.0
CALDAS;ZAMIR EDUARDO CASTELLANOS CORTES;PARTIDO NUEVO LIBERALISMO;774,CALDAS;ZAMIR EDUARDO CASTELLANOS CORTES;PARTIDO NUEVO LIBERALISMO;774,0.0,0.0
CAMPOHERMOSO;CAMILO ANDRES GUTIERREZ FORERO;AREMOS POR CAMPOHERMOSO;294,CAMPOHERMOSO;CAMILO ANDRES GUTIERREZ FORERO;AREMOS POR CAMPOHERMOSO;294,0.0,0.0
CAMPOHERMOSO;DARIO MONTANEZ PENA;PARTIDO CONSERVADOR COLOMBIANO;796,CAMPOHERMOSO;DARIO MONTAÑEZ PEÑA;PARTIDO CONSERVADOR COLOMBIANO;796,0.0,0.0
CAMPOHERMOSO;HILDA SILVERIA ROMERO BARRERA;COALICION UNIDOS POR CAMPOHERMOSO;128,CAMPOHERMOSO;HILDA SILVERIA ROMERO BARRERA;COALICION UNIDOS POR CAMPOHERMOSO;128,0.0,0.0
CAMPOHERMOSO;JAVIER ALEXANDER RAMIREZ BRICENO;PARTIDO DE LA UNION POR LA GENTE - PARTIDO DE LA U;498,CAMPOHERMOSO;JAVIER ALEXANDER RAMIREZ BRICEÑO;PARTIDO DE LA UNIÓN POR LA GENTE - PARTIDO DE LA U;498,0.0,0.0
"CAMPOHERMOSO;JOSE GERARDO SANDOVAL GOMEZ;""PARTIDO ALIANZA SOCIAL INDEPENDIENTE """"ASI"""""";157","CAMPOHERMOSO;JOSE GERARDO SANDOVAL GOMEZ;""PARTIDO ALIANZA SOCIAL INDEPENDIENTE """"ASI"""""";157",0.0,0.0
CAMPOHERMOSO;VOTOS EN BLANCO;CANDIDATOS TOTALES;6,CAMPOHERMOSO;VOTOS EN BLANCO;CANDIDATOS TOTALES;6,0.0,0.0
CAMPOHERMOSO;VOTOS NO MARCADOS;CANDIDATOS TOTALES;11,CAMPOHERMOSO;VOTOS NO MARCADOS;CANDIDATOS TOTALES;11,0.0,0.0
CAMPOHERMOSO;VOTOS NULOS;CANDIDATOS TOTALES;3,CAMPOHERMOSO;VOTOS NULOS;CANDIDATOS TOTALES;3,0.0,0.0
CERINZA;DANILO ANTONIO REYES MORANTES;NUEVA FUERZA DEMOCRATICA;989,CERINZA;DANILO ANTONIO REYES MORANTES;NUEVA FUERZA DEMOCRÁTICA;989,0.0,0.0
CERINZA;LUIS CARLOS CHIA HERNANDEZ;COALICION LCC;1028,CERINZA;LUIS CARLOS CHIA HERNANDEZ;COALICION LCC;1028,0.0,0.0
CERINZA;MARCO ANTONIO CUCAITA MARTINEZ;MOVIMIENTO POLITICO COLOMBIA HUMANA;403,CERINZA;MARCO ANTONIO CUCAITA MARTINEZ;MOVIMIENTO POLÍTICO COLOMBIA HUMANA;403,0.0,0.0
CERINZA;OSCAR GIOVANNY CEPEDA DIAZ;COMPROMISO Y LEALTAD;349,CERINZA;OSCAR GIOVANNY CEPEDA DIAZ;COMPROMISO Y LEALTAD;349,0.0,0.0
CERINZA;VOTOS EN BLANCO;CANDIDATOS TOTALES;21,CERINZA;VOTOS EN BLANCO;CANDIDATOS TOTALES;21,0.0,0.0
