MUNNOMBRE;PARNOMBRE;VOTOS;TOTAL_VOTOS;PORCENTAJE
EL ESPINO;PACTO HISTÓRICO COLOMBIA PUEDE;47;1570;2.99
EL ESPINO;RESULTADOS PARA BOYACA;562;1570;35.8
FIRAVITOBA;BOYACÁ GRANDE;1536;3903;39.35
FIRAVITOBA;BOYACÁ SOMOS TODOS;246;3903;6.3
FIRAVITOBA;Creemos;11;3903;0.28
FIRAVITOBA;NO MAS;49;3903;1.26
FIRAVITOBA;NUEVA FUERZA DEMOCRÁTICA;26;3903;0.67
FIRAVITOBA;PACTO HISTÓRICO COLOMBIA PUEDE;349;3903;8.94
FIRAVITOBA;RESULTADOS PARA BOYACA;1686;3903;43.2
FLORESTA;BOYACÁ GRANDE;1853;2712;68.33
FLORESTA;BOYACÁ SOMOS TODOS;69;2712;2.54
FLORESTA;Creemos;2;2712;0.07
FLORESTA;NO MAS;7;2712;0.26
FLORESTA;NUEVA FUERZA DEMOCRÁTICA;6;2712;0.22
FLORESTA;PACTO HISTÓRICO COLOMBIA PUEDE;155;2712;5.72
FLORESTA;RESULTADOS PARA BOYACA;620;2712;22.86
GACHANTIVA;BOYACÁ GRANDE;863;1541;56.0
GACHANTIVA;BOYACÁ SOMOS TODOS;31;1541;2.01
GACHANTIVA;Creemos;3;1541;0.19
GACHANTIVA;NO MAS;11;1541;0.71
GACHANTIVA;NUEVA FUERZA DEMOCRÁTICA;8;1541;0.52
GACHANTIVA;PACTO HISTÓRICO COLOMBIA PUEDE;48;1541;3.11
GACHANTIVA;RESULTADOS PARA BOYACA;577;1541;37.44
GAMEZA;BOYACÁ GRANDE;1302;2803;46.45
GAMEZA;BOYACÁ SOMOS TODOS;48;2803;1.71
GAMEZA;Creemos;2;2803;0.07
GAMEZA;NO MAS;29;2803;1.03
GAMEZA;NUEVA FUERZA DEMOCRÁTICA;9;2803;0.32
GAMEZA;PACTO HISTÓRICO COLOMBIA PUEDE;173;2803;6.17
GAMEZA;RESULTADOS PARA BOYACA;1240;2803;44.24
GARAGOA;BOYACÁ GRANDE;5184;7908;65.55
GARAGOA;BOYACÁ SOMOS TODOS;168;7908;2.12
GARAGOA;Creemos;6;7908;0.08
GARAGOA;NO MAS;117;7908;1.48
GARAGOA;NUEVA FUERZA DEMOCRÁTICA;32;7908;0.4
GARAGOA;PACTO HISTÓRICO COLOMBIA PUEDE;547;7908;6.92
GARAGOA;RESULTADOS PARA BOYACA;1854;7908;23.44
GUACAMAYAS;BOYACÁ GRANDE;1028;1210;84.96
GUACAMAYAS;BOYACÁ SOMOS TODOS;32;1210;2.64
GUACAMAYAS;Creemos;1;1210;0.08
GUACAMAYAS;NO MAS;6;1210;0.5
GUACAMAYAS;NUEVA FUERZA DEMOCRÁTICA;2;1210;0.17
GUACAMAYAS;PACTO HISTÓRICO COLOMBIA PUEDE;29;1210;2.4
GUACAMAYAS;RESULTADOS PARA BOYACA;112;1210;9.26
GUATEQUE;BOYACÁ GRANDE;4208;5656;74.4
GUATEQUE;BOYACÁ SOMOS TODOS;72;5656;1.27
GUATEQUE;Creemos;11;5656;0.19
GUATEQUE;NO MAS;58;5656;1.03
GUATEQUE;NUEVA FUERZA DEMOCRÁTICA;30;5656;0.53
GUATEQUE;PACTO HISTÓRICO COLOMBIA PUEDE;331;5656;5.85
GUATEQUE;RESULTADOS PARA BOYACA;946;5656;16.73
GUAYATA;BOYACÁ GRANDE;1870;2971;62.94
GUAYATA;BOYACÁ SOMOS TODOS;20;2971;0.67
GUAYATA;NO MAS;6;2971;0.2
GUAYATA;NUEVA FUERZA DEMOCRÁTICA;2;2971;0.07
GUAYATA;PACTO HISTÓRICO COLOMBIA PUEDE;106;2971;3.57
GUAYATA;RESULTADOS PARA BOYACA;967;2971;32.55
GUICAN;BOYACÁ GRANDE;1085;1926;56.33
GUICAN;BOYACÁ SOMOS TODOS;132;1926;6.85
GUICAN;NO MAS;10;1926;0.52
GUICAN;NUEVA FUERZA DEMOCRÁTICA;3;1926;0.16
GUICAN;PACTO HISTÓRICO COLOMBIA PUEDE;161;1926;8.36
