MUNNOMBRE,PARNOMBRE,TOTALVOTOSVALIDOS,PORCENTAJE
CHIQUINQUIRA;WILMAR ANCISAR TRIANA GONZALEZ;SI ES POSIBLE;11749,CHIQUINQUIRA;WILMAR ANCISAR TRIANA GONZALEZ;SI ES POSIBLE;11749,0.0,0.0
CHIQUIZA;CARLOS EDUARDO BORRAS BUITRAGO;LO HAREMOS MEJOR;1583,CHIQUIZA;CARLOS EDUARDO BORRAS BUITRAGO;LO HAREMOS MEJOR;1583,0.0,0.0
CHIQUIZA;ELKIN YAMID SUAREZ PACHECO;PARTIDO ALIANZA VERDE;1990,CHIQUIZA;ELKIN YAMID SUAREZ PACHECO;PARTIDO ALIANZA VERDE;1990,0.0,0.0
CHIQUIZA;IVAN RENE SUAREZ RIVERA;MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL MAIS;292,CHIQUIZA;IVAN RENE SUAREZ RIVERA;MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL MAIS;292,0.0,0.0
CHISCAS;CAMILO ANDRES CAICEDO SILVA;PARA SERVIRLE SUMERCE;1129,CHISCAS;CAMILO ANDRES CAICEDO SILVA;PARA SERVIRLE SUMERCE;1129,0.0,0.0
CHISCAS;GERSON AYMER RUIZ CARRENO;PARTIDO CENTRO DEMOCRATICO;407,CHISCAS;GERSON AYMER RUIZ CARREÑO;PARTIDO CENTRO DEMOCRATICO;407,0.0,0.0
CHISCAS;REINALDO ESTEBAN NUNEZ;UNIDOS CONSTRUIMOS FUTURO;602,CHISCAS;REINALDO ESTEBAN NUÑEZ;UNIDOS CONSTRUIMOS FUTURO;602,0.0,0.0
CHITA;JOSE MIGUEL VELANDIA ALARCON;PARTIDO CAMBIO RADICAL;2252,CHITA;JOSE MIGUEL VELANDIA ALARCON;PARTIDO CAMBIO RADICAL;2252,0.0,0.0
CHITA;VLADIMIR RISCANEVO POBLADOR;PARTIDO CONSERVADOR COLOMBIANO - PARTIDO DE LA U;1824,CHITA;VLADIMIR RISCANEVO POBLADOR;PARTIDO CONSERVADOR COLOMBIANO - PARTIDO DE LA U;1824,0.0,0.0
CHITARAQUE;CESAR CAMILO ULLOA MOSQUERA;MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL MAIS;84,CHITARAQUE;CESAR CAMILO ULLOA MOSQUERA;MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL MAIS;84,0.0,0.0
CHITARAQUE;FABIAN ARMANDO SILVA SANCHEZ;CON EL ALMA POR CHITARAQUE;2573,CHITARAQUE;FABIAN ARMANDO SILVA SANCHEZ;CON EL ALMA POR CHITARAQUE;2573,0.0,0.0
CHITARAQUE;LUIS FRANCISCO DAZA TELLEZ;UNIDOS SEGUIMOS AVANZANDO POR CHITARAQUE;1069,CHITARAQUE;LUIS FRANCISCO DAZA TELLEZ;UNIDOS SEGUIMOS AVANZANDO POR CHITARAQUE;1069,0.0,0.0
CHITARAQUE;MABEL ALVAREZ HERNANDEZ;PARTIDO CONSERVADOR - ASI;395,CHITARAQUE;MABEL ALVAREZ HERNANDEZ;PARTIDO CONSERVADOR  - ASI;395,0.0,0.0
CHIVATA;JOSE JOAQUIN CRUZ GAMBASICA;PARTIDO CONSERVADOR COLOMBIANO - CAMBIO RADICAL - CENTRO DEMOCRATICO;643,Cambio Radical,0.0,0.0
CHIVATA;MILTON DARIO BERNAL BAUTISTA;CULTIVEMOS CHIVATA - MAIS;206,CHIVATA;MILTON DARIO BERNAL BAUTISTA;CULTIVEMOS CHIVATA - MAIS;206,0.0,0.0
CHIVATA;RAFAEL ANTONIO FONSECA CELY;PARTIDO SOCIAL UNIDAD NACIONAL - PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI;742,Alianza Social Independiente,0.0,0.0
CHIVATA;YESID ALEXANDER BERNAL HERNANDEZ;COALICION LABRANDO FUTURO;630,CHIVATA;YESID ALEXANDER BERNAL HERNANDEZ;COALICION LABRANDO FUTURO;630,0.0,0.0
CHIVOR;ANA YOLANDA HERNANDEZ DAZA;PARTIDO ALIANZA VERDE;182,CHIVOR;ANA YOLANDA HERNANDEZ DAZA;PARTIDO ALIANZA VERDE;182,0.0,0.0
CHIVOR;DIANA MIRELLA MONTENEGRO DAZA;PARTIDO CAMBIO RADICAL;108,CHIVOR;DIANA MIRELLA MONTENEGRO DAZA;PARTIDO CAMBIO RADICAL;108,0.0,0.0
CHIVOR;DIDIER AURELIO MARTINEZ VARGAS;PARTIDO CENTRO DEMOCRATICO;580,CHIVOR;DIDIER AURELIO MARTINEZ VARGAS;PARTIDO CENTRO DEMOCRATICO;580,0.0,0.0
CHIVOR;DIDIER MAURICIO BERNAL MONDRAGON;PARTIDO CONSERVADOR COLOMBIANO;23,CHIVOR;DIDIER MAURICIO BERNAL MONDRAGON;PARTIDO CONSERVADOR COLOMBIANO;23,0.0,0.0
CHIVOR;VIVIANA PAOLA MARTIN AREVALO;PARTIDO ALIANZA SOCIAL INDEPENDIENTE ASI;372,CHIVOR;VIVIANA PAOLA MARTIN AREVALO;PARTIDO ALIANZA SOCIAL INDEPENDIENTE ASI;372,0.0,0.0
CIENEGA;RAMIRO FONSECA CRUZ;PARTIDO CENTRO DEMOCRATICO;1557,CIENEGA;RAMIRO FONSECA CRUZ;PARTIDO CENTRO DEMOCRATICO;1557,0.0,0.0
CIENEGA;WILLIAM CAMILO BARRETO GONZALEZ;PARTIDO CONSERVADOR COLOMBIANO - PARTIDO DE LA U - CAMBIO RADICAL;1483,CIENEGA;WILLIAM CAMILO BARRETO GONZALEZ;PARTIDO CONSERVADOR COLOMBIANO - PARTIDO DE LA U - CAMBIO RADICAL;1483,0.0,0.0
COMBITA;NELSON PEREZ SUAREZ;SOMOS MAS;4622,COMBITA;NELSON PEREZ SUAREZ;SOMOS MAS;4622,0.0,0.0
COMBITA;NELSON RAFAEL PARRA SANDOVAL;LA INCLUSION NUESTRO COMPROMISO;2295,COMBITA;NELSON RAFAEL PARRA SANDOVAL;LA INCLUSION NUESTRO COMPROMISO;2295,0.0,0.0
COPER;AURORA DEL CARMEN NIETO MOLINA;COALICION ALCALDIA DE COPER;963,COPER;AURORA DEL CARMEN NIETO MOLINA;COALICION ALCALDIA DE COPER;963,0.0,0.0
