MUNNOMBRE;PARNOMBRE;VOTOS
LA VICTORIA;CONSULTA DE LAS SOLUCIONES: SALUD, SEGURIDAD Y EDUCACIÓN;14
LA VICTORIA;Con Toda por Colombia;42
LA VICTORIA;FRENTE POR LA VIDA;19
LA VICTORIA;Gran Consulta por Colombia;167
LA VICTORIA;Valientes;5
LABRANZAGRANDE;Alianza Verde;7
LABRANZAGRANDE;CONSULTA DE LAS SOLUCIONES: SALUD, SEGURIDAD Y EDUCACIÓN;24
LABRANZAGRANDE;Con Toda por Colombia;32
LABRANZAGRANDE;FRENTE POR LA VIDA;21
LABRANZAGRANDE;Gran Consulta por Colombia;370
LABRANZAGRANDE;Valientes;14
MACANAL;Alianza Verde;17
MACANAL;CONSULTA DE LAS SOLUCIONES: SALUD, SEGURIDAD Y EDUCACIÓN;85
MACANAL;Con Toda por Colombia;100
MACANAL;FRENTE POR LA VIDA;46
MACANAL;Gran Consulta por Colombia;413
MACANAL;Valientes;26
MARIPI;Alianza Verde;7
MARIPI;CONSULTA DE LAS SOLUCIONES: SALUD, SEGURIDAD Y EDUCACIÓN;38
MARIPI;Con Toda por Colombia;53
MARIPI;FRENTE POR LA VIDA;42
MARIPI;Gran Consulta por Colombia;967
MARIPI;Valientes;23
MIRAFLORES;Alianza Verde;35
MIRAFLORES;CONSULTA DE LAS SOLUCIONES: SALUD, SEGURIDAD Y EDUCACIÓN;123
MIRAFLORES;Con Toda por Colombia;232
MIRAFLORES;FRENTE POR LA VIDA;146
MIRAFLORES;Gran Consulta por Colombia;680
MIRAFLORES;Valientes;47
MONGUA;Alianza Verde;5
MONGUA;CONSULTA DE LAS SOLUCIONES: SALUD, SEGURIDAD Y EDUCACIÓN;52
MONGUA;Con Toda por Colombia;67
MONGUA;FRENTE POR LA VIDA;24
MONGUA;Gran Consulta por Colombia;878
MONGUA;Valientes;24
MONGUI;Alianza Verde;14
MONGUI;CONSULTA DE LAS SOLUCIONES: SALUD, SEGURIDAD Y EDUCACIÓN;82
MONGUI;Con Toda por Colombia;108
MONGUI;FRENTE POR LA VIDA;27
MONGUI;Gran Consulta por Colombia;464
MONGUI;Valientes;48
MONIQUIRA;Alianza Verde;78
MONIQUIRA;CONSULTA DE LAS SOLUCIONES: SALUD, SEGURIDAD Y EDUCACIÓN;499
MONIQUIRA;Con Toda por Colombia;531
MONIQUIRA;FRENTE POR LA VIDA;289
MONIQUIRA;Gran Consulta por Colombia;2594
MONIQUIRA;Valientes;135
MOTAVITA;Alianza Verde;18
MOTAVITA;CONSULTA DE LAS SOLUCIONES: SALUD, SEGURIDAD Y EDUCACIÓN;154
MOTAVITA;Con Toda por Colombia;156
MOTAVITA;FRENTE POR LA VIDA;153
MOTAVITA;Gran Consulta por Colombia;520
MOTAVITA;Valientes;40
MUZO;Alianza Verde;28
MUZO;CONSULTA DE LAS SOLUCIONES: SALUD, SEGURIDAD Y EDUCACIÓN;104
MUZO;Con Toda por Colombia;117
MUZO;FRENTE POR LA VIDA;72
MUZO;Gran Consulta por Colombia;806
MUZO;Valientes;52
NOBSA;Alianza Verde;60
NOBSA;CONSULTA DE LAS SOLUCIONES: SALUD, SEGURIDAD Y EDUCACIÓN;464
NOBSA;Con Toda por Colombia;793
NOBSA;FRENTE POR LA VIDA;369
NOBSA;Gran Consulta por Colombia;1305
NOBSA;Valientes;118
NUEVO COLON;Alianza Verde;13
NUEVO COLON;CONSULTA DE LAS SOLUCIONES: SALUD, SEGURIDAD Y EDUCACIÓN;62
NUEVO COLON;Con Toda por Colombia;98
NUEVO COLON;FRENTE POR LA VIDA;56
