MUNNOMBRE,PARNOMBRE,TOTALVOTOSVALIDOS,PORCENTAJE
ALMEIDA;PARTIDO CENTRO DEMOCRATICO;PARTIDO CENTRO DEMOCRATICO;5,ALMEIDA;Partido Centro Democratico;Partido Centro Democratico;5,0.0,0.0
ALMEIDA;PARTIDO CONSERVADOR COLOMBIANO;PARTIDO CONSERVADOR COLOMBIANO;21,ALMEIDA;Partido Conservador Colombiano;Partido Conservador Colombiano;21,0.0,0.0
ALMEIDA;PARTIDO LIBERAL COLOMBIANO;PARTIDO LIBERAL COLOMBIANO;3,ALMEIDA;Partido Liberal Colombiano;Partido Liberal Colombiano;3,0.0,0.0
ALMEIDA;PARTIDO POLO DEMOCRATICO ALTERNATIVO;PARTIDO POLO DEMOCRATICO ALTERNATIVO;3,ALMEIDA;Partido Polo Democratico Alternativo;Partido Polo Democratico Alternativo;3,0.0,0.0
ALMEIDA;PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U;PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U;7,ALMEIDA;Partido Social De Unidad Nacional  Partido De La U;Partido Social De Unidad Nacional  Partido De La U;7,0.0,0.0
ALMEIDA;RAQUEL SOFIA AMAYA ARIAS;PARTIDO ALIANZA VERDE;1,ALMEIDA;Raquel Sofia Amaya Arias;PARTIDO ALIANZA VERDE;1,0.0,0.0
ALMEIDA;RAUL CACERES BERGANO;PARTIDO LIBERAL COLOMBIANO;1,ALMEIDA;Raul Caceres Bergano;PARTIDO LIBERAL COLOMBIANO;1,0.0,0.0
ALMEIDA;RAUL CARDONA GRISALES;PARTIDO LIBERAL COLOMBIANO;1,ALMEIDA;Raul Cardona Grisales;PARTIDO LIBERAL COLOMBIANO;1,0.0,0.0
ALMEIDA;ROBERTO VICTOR GERLEIN ECHEVERRIA;PARTIDO CONSERVADOR COLOMBIANO;4,ALMEIDA;Roberto Victor Gerlein Echeverria;PARTIDO CONSERVADOR COLOMBIANO;4,0.0,0.0
ALMEIDA;RODRIGO VILLALBA MOSQUERA;PARTIDO LIBERAL COLOMBIANO;3,ALMEIDA;Rodrigo Villalba Mosquera;PARTIDO LIBERAL COLOMBIANO;3,0.0,0.0
ALMEIDA;ROSA MARLENE BURBANO RAMIREZ;PARTIDO CONSERVADOR COLOMBIANO;2,ALMEIDA;Rosa Marlene Burbano Ramirez;PARTIDO CONSERVADOR COLOMBIANO;2,0.0,0.0
ALMEIDA;ROY LEONARDO BARRERAS MONTEALEGRE;PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U;1,ALMEIDA;Roy Leonardo Barreras Montealegre;PARTIDO SOCIAL DE UNIDAD NACIONAL  PARTIDO DE LA U;1,0.0,0.0
