MUNNOMBRE;CANNOMBRE;PARNOMBRE;VOTOS
SOCOTA;GUSTAVO PETRO;COALICIÓN PACTO HISTÓRICO;1011
SOGAMOSO;GUSTAVO PETRO;COALICIÓN PACTO HISTÓRICO;35721
SOGAMOSO;RODOLFO HERNÁNDEZ;Liga de Gobernantes;29500
SOMONDOCO;RODOLFO HERNÁNDEZ;Liga de Gobernantes;1231
SOMONDOCO;GUSTAVO PETRO;COALICIÓN PACTO HISTÓRICO;464
SORA;RODOLFO HERNÁNDEZ;Liga de Gobernantes;1135
SORA;GUSTAVO PETRO;COALICIÓN PACTO HISTÓRICO;779
SORACA;RODOLFO HERNÁNDEZ;Liga de Gobernantes;2626
SORACA;GUSTAVO PETRO;COALICIÓN PACTO HISTÓRICO;1392
SOTAQUIRA;RODOLFO HERNÁNDEZ;Liga de Gobernantes;2990
SOTAQUIRA;GUSTAVO PETRO;COALICIÓN PACTO HISTÓRICO;1156
SUSACON;RODOLFO HERNÁNDEZ;Liga de Gobernantes;1209
SUSACON;GUSTAVO PETRO;COALICIÓN PACTO HISTÓRICO;347
SUTAMARCHAN;RODOLFO HERNÁNDEZ;Liga de Gobernantes;2926
SUTAMARCHAN;GUSTAVO PETRO;COALICIÓN PACTO HISTÓRICO;1159
SUTATENZA;RODOLFO HERNÁNDEZ;Liga de Gobernantes;1702
SUTATENZA;GUSTAVO PETRO;COALICIÓN PACTO HISTÓRICO;666
TASCO;RODOLFO HERNÁNDEZ;Liga de Gobernantes;1630
TASCO;GUSTAVO PETRO;COALICIÓN PACTO HISTÓRICO;1149
TENZA;RODOLFO HERNÁNDEZ;Liga de Gobernantes;1661
TENZA;GUSTAVO PETRO;COALICIÓN PACTO HISTÓRICO;505
TIBANA;RODOLFO HERNÁNDEZ;Liga de Gobernantes;2980
TIBANA;GUSTAVO PETRO;COALICIÓN PACTO HISTÓRICO;1399
TIBASOSA;GUSTAVO PETRO;COALICIÓN PACTO HISTÓRICO;3226
TIBASOSA;RODOLFO HERNÁNDEZ;Liga de Gobernantes;3187
TINJACA;RODOLFO HERNÁNDEZ;Liga de Gobernantes;1279
TINJACA;GUSTAVO PETRO;COALICIÓN PACTO HISTÓRICO;812
TIPACOQUE;RODOLFO HERNÁNDEZ;Liga de Gobernantes;1553
TIPACOQUE;GUSTAVO PETRO;COALICIÓN PACTO HISTÓRICO;472
TOCA;RODOLFO HERNÁNDEZ;Liga de Gobernantes;3146
TOCA;GUSTAVO PETRO;COALICIÓN PACTO HISTÓRICO;1793
TOGUI;RODOLFO HERNÁNDEZ;Liga de Gobernantes;1937
TOGUI;GUSTAVO PETRO;COALICIÓN PACTO HISTÓRICO;467
TOPAGA;RODOLFO HERNÁNDEZ;Liga de Gobernantes;1548
TOPAGA;GUSTAVO PETRO;COALICIÓN PACTO HISTÓRICO;745
TOTA;RODOLFO HERNÁNDEZ;Liga de Gobernantes;1937
TOTA;GUSTAVO PETRO;COALICIÓN PACTO HISTÓRICO;506
TUNJA;GUSTAVO PETRO;COALICIÓN PACTO HISTÓRICO;54629
TUNJA;RODOLFO HERNÁNDEZ;Liga de Gobernantes;37000
TUNUNGUA;RODOLFO HERNÁNDEZ;Liga de Gobernantes;677
TUNUNGUA;GUSTAVO PETRO;COALICIÓN PACTO HISTÓRICO;265
TURMEQUE;RODOLFO HERNÁNDEZ;Liga de Gobernantes;2360
TURMEQUE;GUSTAVO PETRO;COALICIÓN PACTO HISTÓRICO;1128
TUTA;RODOLFO HERNÁNDEZ;Liga de Gobernantes;3317
TUTA;GUSTAVO PETRO;COALICIÓN PACTO HISTÓRICO;2168
TUTAZA;RODOLFO HERNÁNDEZ;Liga de Gobernantes;901
TUTAZA;GUSTAVO PETRO;COALICIÓN PACTO HISTÓRICO;459
UMBITA;RODOLFO HERNÁNDEZ;Liga de Gobernantes;2966
UMBITA;GUSTAVO PETRO;COALICIÓN PACTO HISTÓRICO;890
VENTAQUEMADA;RODOLFO HERNÁNDEZ;Liga de Gobernantes;4489
VENTAQUEMADA;GUSTAVO PETRO;COALICIÓN PACTO HISTÓRICO;2761
VILLA DE LEIVA;RODOLFO HERNÁNDEZ;Liga de Gobernantes;5732
VILLA DE LEIVA;GUSTAVO PETRO;COALICIÓN PACTO HISTÓRICO;3496
VIRACACHA;RODOLFO HERNÁNDEZ;Liga de Gobernantes;1398
VIRACACHA;GUSTAVO PETRO;COALICIÓN PACTO HISTÓRICO;320
ZETAQUIRA;RODOLFO HERNÁNDEZ;Liga de Gobernantes;1933
ZETAQUIRA;GUSTAVO PETRO;COALICIÓN PACTO HISTÓRICO;892
