MUNNOMBRE;CANNOMBRE;PARNOMBRE;VOTOS
CALDAS;JUAN MANUEL GALAN PACHON;LA GRAN CONSULTA POR COLOMBIA;29
CALDAS;LEONARDO HUMBERTO HUERTA GUTIERREZ;CONSULTA DE LAS SOLUCIONES: SALUD, SEGURIDAD Y EDUCACIÓN;1
CALDAS;MAURICIO CARDENAS SANTAMARIA;LA GRAN CONSULTA POR COLOMBIA;1
CALDAS;PALOMA SUSANA VALENCIA LASERNA;LA GRAN CONSULTA POR COLOMBIA;274
CALDAS;ROY LEONARDO BARRERAS MONTEALEGRE;FRENTE POR LA VIDA;13
CALDAS;VICTORIA EUGENIA DAVILA HOYOS;LA GRAN CONSULTA POR COLOMBIA;18
CALDAS;VOTOS NO MARCADOS CONSULTA;CANDIDATOS TOTALES;18
CALDAS;VOTOS NULOS CONSULTA;CANDIDATOS TOTALES;32
CAMPOHERMOSO;ANIBAL GAVIRIA CORREA;LA GRAN CONSULTA POR COLOMBIA;3
CAMPOHERMOSO;CLAUDIA NAYIBE LOPEZ HERNANDEZ;CONSULTA DE LAS SOLUCIONES: SALUD, SEGURIDAD Y EDUCACIÓN;20
CAMPOHERMOSO;DANIEL QUINTERO CALLE;FRENTE POR LA VIDA;3
CAMPOHERMOSO;DAVID ANDRES LUNA SANCHEZ;LA GRAN CONSULTA POR COLOMBIA;1
CAMPOHERMOSO;EDISON LUCIO TORRES MORENO;FRENTE POR LA VIDA;1
CAMPOHERMOSO;ENRIQUE PEÑALOSA LONDOÑO;LA GRAN CONSULTA POR COLOMBIA;8
CAMPOHERMOSO;JUAN CARLOS PINZON BUENO;LA GRAN CONSULTA POR COLOMBIA;31
CAMPOHERMOSO;JUAN DANIEL OVIEDO ARANGO;LA GRAN CONSULTA POR COLOMBIA;23
CAMPOHERMOSO;JUAN MANUEL GALAN PACHON;LA GRAN CONSULTA POR COLOMBIA;4
CAMPOHERMOSO;LEONARDO HUMBERTO HUERTA GUTIERREZ;CONSULTA DE LAS SOLUCIONES: SALUD, SEGURIDAD Y EDUCACIÓN;1
CAMPOHERMOSO;MARTHA VIVIANA BERNAL AMAYA;FRENTE POR LA VIDA;2
CAMPOHERMOSO;MAURICIO CARDENAS SANTAMARIA;LA GRAN CONSULTA POR COLOMBIA;1
CAMPOHERMOSO;PALOMA SUSANA VALENCIA LASERNA;LA GRAN CONSULTA POR COLOMBIA;290
CAMPOHERMOSO;ROY LEONARDO BARRERAS MONTEALEGRE;FRENTE POR LA VIDA;4
CAMPOHERMOSO;VICTORIA EUGENIA DAVILA HOYOS;LA GRAN CONSULTA POR COLOMBIA;7
CAMPOHERMOSO;VOTOS NO MARCADOS CONSULTA;CANDIDATOS TOTALES;23
CAMPOHERMOSO;VOTOS NULOS CONSULTA;CANDIDATOS TOTALES;18
CERINZA;ANIBAL GAVIRIA CORREA;LA GRAN CONSULTA POR COLOMBIA;2
CERINZA;CLAUDIA NAYIBE LOPEZ HERNANDEZ;CONSULTA DE LAS SOLUCIONES: SALUD, SEGURIDAD Y EDUCACIÓN;77
CERINZA;DANIEL QUINTERO CALLE;FRENTE POR LA VIDA;22
CERINZA;DAVID ANDRES LUNA SANCHEZ;LA GRAN CONSULTA POR COLOMBIA;41
CERINZA;EDISON LUCIO TORRES MORENO;FRENTE POR LA VIDA;4
CERINZA;ENRIQUE PEÑALOSA LONDOÑO;LA GRAN CONSULTA POR COLOMBIA;7
CERINZA;HECTOR ELIAS PINEDA SALAZAR;FRENTE POR LA VIDA;3
CERINZA;JUAN CARLOS PINZON BUENO;LA GRAN CONSULTA POR COLOMBIA;34
CERINZA;JUAN DANIEL OVIEDO ARANGO;LA GRAN CONSULTA POR COLOMBIA;104
CERINZA;JUAN MANUEL GALAN PACHON;LA GRAN CONSULTA POR COLOMBIA;20
CERINZA;LEONARDO HUMBERTO HUERTA GUTIERREZ;CONSULTA DE LAS SOLUCIONES: SALUD, SEGURIDAD Y EDUCACIÓN;3
CERINZA;MARTHA VIVIANA BERNAL AMAYA;FRENTE POR LA VIDA;4
CERINZA;MAURICIO CARDENAS SANTAMARIA;LA GRAN CONSULTA POR COLOMBIA;29
CERINZA;PALOMA SUSANA VALENCIA LASERNA;LA GRAN CONSULTA POR COLOMBIA;241
CERINZA;ROY LEONARDO BARRERAS MONTEALEGRE;FRENTE POR LA VIDA;23
CERINZA;VICTORIA EUGENIA DAVILA HOYOS;LA GRAN CONSULTA POR COLOMBIA;24
CERINZA;VOTOS NO MARCADOS CONSULTA;CANDIDATOS TOTALES;22
CERINZA;VOTOS NULOS CONSULTA;CANDIDATOS TOTALES;40
CHINAVITA;ANIBAL GAVIRIA CORREA;LA GRAN CONSULTA POR COLOMBIA;3
CHINAVITA;CLAUDIA NAYIBE LOPEZ HERNANDEZ;CONSULTA DE LAS SOLUCIONES: SALUD, SEGURIDAD Y EDUCACIÓN;61
CHINAVITA;DANIEL QUINTERO CALLE;FRENTE POR LA VIDA;16
CHINAVITA;DAVID ANDRES LUNA SANCHEZ;LA GRAN CONSULTA POR COLOMBIA;5
CHINAVITA;ENRIQUE PEÑALOSA LONDOÑO;LA GRAN CONSULTA POR COLOMBIA;8
CHINAVITA;HECTOR ELIAS PINEDA SALAZAR;FRENTE POR LA VIDA;2
CHINAVITA;JUAN CARLOS PINZON BUENO;LA GRAN CONSULTA POR COLOMBIA;52
CHINAVITA;JUAN DANIEL OVIEDO ARANGO;LA GRAN CONSULTA POR COLOMBIA;94
CHINAVITA;JUAN MANUEL GALAN PACHON;LA GRAN CONSULTA POR COLOMBIA;20
CHINAVITA;LEONARDO HUMBERTO HUERTA GUTIERREZ;CONSULTA DE LAS SOLUCIONES: SALUD, SEGURIDAD Y EDUCACIÓN;2
CHINAVITA;MARTHA VIVIANA BERNAL AMAYA;FRENTE POR LA VIDA;3
CHINAVITA;MAURICIO CARDENAS SANTAMARIA;LA GRAN CONSULTA POR COLOMBIA;9
CHINAVITA;PALOMA SUSANA VALENCIA LASERNA;LA GRAN CONSULTA POR COLOMBIA;391
CHINAVITA;ROY LEONARDO BARRERAS MONTEALEGRE;FRENTE POR LA VIDA;15
CHINAVITA;VICTORIA EUGENIA DAVILA HOYOS;LA GRAN CONSULTA POR COLOMBIA;16
CHINAVITA;VOTOS NO MARCADOS CONSULTA;CANDIDATOS TOTALES;60
CHINAVITA;VOTOS NULOS CONSULTA;CANDIDATOS TOTALES;42
CHIQUINQUIRA;ANIBAL GAVIRIA CORREA;LA GRAN CONSULTA POR COLOMBIA;22
CHIQUINQUIRA;CLAUDIA NAYIBE LOPEZ HERNANDEZ;CONSULTA DE LAS SOLUCIONES: SALUD, SEGURIDAD Y EDUCACIÓN;1182
CHIQUINQUIRA;DANIEL QUINTERO CALLE;FRENTE POR LA VIDA;249
CHIQUINQUIRA;DAVID ANDRES LUNA SANCHEZ;LA GRAN CONSULTA POR COLOMBIA;179
CHIQUINQUIRA;EDISON LUCIO TORRES MORENO;FRENTE POR LA VIDA;34
CHIQUINQUIRA;ENRIQUE PEÑALOSA LONDOÑO;LA GRAN CONSULTA POR COLOMBIA;208
CHIQUINQUIRA;HECTOR ELIAS PINEDA SALAZAR;FRENTE POR LA VIDA;30
CHIQUINQUIRA;JUAN CARLOS PINZON BUENO;LA GRAN CONSULTA POR COLOMBIA;516
CHIQUINQUIRA;JUAN DANIEL OVIEDO ARANGO;LA GRAN CONSULTA POR COLOMBIA;2186
