MUNNOMBRE;CANNOMBRE;PARNOMBRE;VOTOS
LABRANZAGRANDE;JORGE ENRIQUE VANEGAS PULIDO;PARA SEGUIR AVANZANDO;867
MACANAL;DELMAR LEONARDO ROA PATIÑO;PARTIDO CONSERVADOR COLOMBIANO;930
MACANAL;GERMAN DANILO SALGUERO ABRIL;PARTIDO ALIANZA VERDE;368
MACANAL;JAVIER ANDRES SOLANO ROJAS;PARTIDO CENTRO DEMOCRATICO;1255
MARIPI;IMER YARIDMA MURCIA MONROY;MARIPI, UN COMPROMISO DE CORAZON;2085
MARIPI;MILLER FAIR ROMERO MURCIA;MARIPI PARA TODOS;2072
MIRAFLORES;FREDY ALEXANDER HOLGUIN RUIZ;UNIDOS MIRAFLORES PROGRESA MAS;2917
MIRAFLORES;LEDYS SORAYA VERA MONROY;ALCALDIA MIRAFLORES BOYACA;1326
MIRAFLORES;NELSON HERNANDO ROA RUBIO;PARTIDO LIBERAL COLOMBIANO;1357
MONGUA;MARCO FIDEL SILVA ROJAS;PARTIDO CONSERVADOR COLOMBIANO;1932
MONGUA;MIGUEL ANGEL SERRANO CELY;PARTIDO CENTRO DEMOCRATICO;1406
MONGUI;CARMEN LUISA BARRERA CARRERO;PARTIDO SOCIAL DE UNIDAD NACIONAL  PARTIDO DE LA U;75
MONGUI;NELSON EDGARDO GUTIERREZ SILVA;UNIDOS PARA AVANZAR;539
MONGUI;OSWALDO PEREZ QUIROZ;PARTIDO CENTRO DEMOCRATICO;1866
MONGUI;RAFAEL ALONSO GOMEZ MELO;PARTIDO ALIANZA VERDE;519
MONIQUIRA;FREDY IOVANNY PARDO PINZON;COALICION ENTRE EL PARTIDO DE LA U Y EL PARTIDO LIBERAL COLOMBIANO;3764
MONIQUIRA;GRETHA CAMELA CAMACHO TORRES;CONCIENCIA CIUDADANA - ASI;424
MONIQUIRA;JORGE ARMANDO SOLORZANO SIERRA;COALICION POR LA MONIQUIRA QUE QUEREMOS;122
MONIQUIRA;JORGE ENRIQUE CORDOBA ORJUELA;PARTIDO CENTRO DEMOCRATICO;1555
MONIQUIRA;JOSE CLODOMIRO ARIZA PARDO;MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL MAIS;4350
MONIQUIRA;SERVILIO CAICEDO ULLOA;PARTIDO ALIANZA VERDE;1650
MOTAVITA;ALBERTO CETINA BARAJAS;PARTIDO ALIANZA VERDE;522
MOTAVITA;ALVEIRO MALAVER ECHEVERRIA;MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL MAIS;333
MOTAVITA;DALILA YAZMIN PAMPLONA PACHECO;PARTIDO COLOMBIA RENACIENTE;581
MOTAVITA;FABIAN DARIO DIAZ PULIDO;PARTIDO ALIANZA SOCIAL INDEPENDIENTE ASI;467
