MUNNOMBRE;CANNOMBRE;PARNOMBRE;VOTOS
CUCAITA;JONATAN SANCHEZ GARAVITO;JUNTOS #ESMOMENTO;436
CUCAITA;JOSE GIOVANY PINZON BAEZ;MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL MAIS;337
CUCAITA;OLMEDO VARGAS HERNANDEZ;PARTIDO COLOMBIA RENACIENTE;43
CUCAITA;RAMIRO BARRAGAN ADAME;GRAN ALIANZA POR BOYACA;1701
CUITIVA;JONATAN SANCHEZ GARAVITO;JUNTOS #ESMOMENTO;231
CUITIVA;JOSE GIOVANY PINZON BAEZ;MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL MAIS;57
CUITIVA;OLMEDO VARGAS HERNANDEZ;PARTIDO COLOMBIA RENACIENTE;10
CUITIVA;RAMIRO BARRAGAN ADAME;GRAN ALIANZA POR BOYACA;1025
DUITAMA;JONATAN SANCHEZ GARAVITO;JUNTOS #ESMOMENTO;9281
DUITAMA;JOSE GIOVANY PINZON BAEZ;MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL MAIS;2746
DUITAMA;OLMEDO VARGAS HERNANDEZ;PARTIDO COLOMBIA RENACIENTE;1958
DUITAMA;RAMIRO BARRAGAN ADAME;GRAN ALIANZA POR BOYACA;38770
EL COCUY;JONATAN SANCHEZ GARAVITO;JUNTOS #ESMOMENTO;687
EL COCUY;JOSE GIOVANY PINZON BAEZ;MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL MAIS;18
EL COCUY;OLMEDO VARGAS HERNANDEZ;PARTIDO COLOMBIA RENACIENTE;10
EL COCUY;RAMIRO BARRAGAN ADAME;GRAN ALIANZA POR BOYACA;1536
EL ESPINO;JONATAN SANCHEZ GARAVITO;JUNTOS #ESMOMENTO;525
EL ESPINO;JOSE GIOVANY PINZON BAEZ;MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL MAIS;48
EL ESPINO;OLMEDO VARGAS HERNANDEZ;PARTIDO COLOMBIA RENACIENTE;39
EL ESPINO;RAMIRO BARRAGAN ADAME;GRAN ALIANZA POR BOYACA;1003
FIRAVITOBA;JONATAN SANCHEZ GARAVITO;JUNTOS #ESMOMENTO;590
FIRAVITOBA;JOSE GIOVANY PINZON BAEZ;MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL MAIS;122
FIRAVITOBA;OLMEDO VARGAS HERNANDEZ;PARTIDO COLOMBIA RENACIENTE;63
FIRAVITOBA;RAMIRO BARRAGAN ADAME;GRAN ALIANZA POR BOYACA;2984
